token	freq	section	status	bucket	cls	ru_proposed	citation	note	classified_by
Intrans.	1	grammatical: valency / diathesis-adjacent	rule-bulk	a	лат	неперех.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
tr.	1	grammatical: valency / diathesis-adjacent	rule-bulk	a	лат	перех.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Impers.	1	grammatical: valency / diathesis-adjacent	rule-bulk	a	лат	безл.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Comp.	147	grammatical: word formation / morphology / degree	rule-bulk	a	лат	комп.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy	композит (сложное слово)	agent (Sonnet 5, claude-sonnet-5), H1682
ved.	57	grammatical: word formation / morphology / degree	rule-bulk	a	лат	вед.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
comp.	44	grammatical: word formation / morphology / degree	rule-bulk	a	лат	комп.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
adj. Comp.	9	grammatical: word formation / morphology / degree	rule-bulk	a	лат	адъект. комп.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
compp.	6	grammatical: word formation / morphology / degree	rule-bulk	a	лат	комп.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Gramm.	5	grammatical: word formation / morphology / degree	rule-bulk	c	нем	грамм.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Superl.	4	grammatical: word formation / morphology / degree	rule-bulk	a	лат	превосх.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
adj. comp.	4	grammatical: word formation / morphology / degree	rule-bulk	a	лат	адъект. комп.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
gramm.	2	grammatical: word formation / morphology / degree	rule-bulk	c	нем	грамм.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
unregelm.	2	grammatical: word formation / morphology / degree	rule-bulk	a	нем	неправ.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
oxyt.	2	grammatical: word formation / morphology / degree	rule-bulk	a	лат	оксит.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
suff.	2	grammatical: word formation / morphology / degree	rule-bulk	a	лат	суфф.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
superl.	2	grammatical: word formation / morphology / degree	rule-bulk	a	лат	превосх.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Compar.	2	grammatical: word formation / morphology / degree	rule-bulk	a	лат	сравн.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
compar.	2	grammatical: word formation / morphology / degree	rule-bulk	a	лат	сравн.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
ungramm.	1	grammatical: word formation / morphology / degree	rule-bulk	a	нем	неграмм.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Compp.	1	grammatical: word formation / morphology / degree	rule-bulk	a	лат	комп.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
defect.	1	grammatical: word formation / morphology / degree	rule-bulk	a	лат	дефект.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Augm.	1	grammatical: word formation / morphology / degree	rule-bulk	a	лат	аугм.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
compon.	1	grammatical: word formation / morphology / degree	rule-bulk	a	лат	компонент	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
priv.	1	grammatical: word formation / morphology / degree	rule-bulk	a	лат	прив.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Declin.	1	grammatical: word formation / morphology / degree	rule-bulk	a	лат	скл.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Redupl.	1	grammatical: word formation / morphology / degree	rule-bulk	a	лат	редупл.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
adv. Comp.	1	grammatical: word formation / morphology / degree	rule-bulk	a	лат	адверб. комп.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
partit.	1	grammatical: word formation / morphology / degree	rule-bulk	a	лат	партит.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Patron.	1	grammatical: word formation / morphology / degree	rule-bulk	a	лат	патрон.	DA-vote N3/N5/N8 (19-07-2026), same grammatical-translate policy		agent (Sonnet 5, claude-sonnet-5), H1682
Sch.	294	source / citation mechanics	rule-bulk	c	лат	схол.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
v. l.	284	source / citation mechanics	residue-ambiguous	c	лат	разночт.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family	varia lectio; латинский текстологический термин — кандидат на «оставить по общему согласию» (N5)	agent (Sonnet 5, claude-sonnet-5), H1682
Schol.	281	source / citation mechanics	rule-bulk	c	лат	схол.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Z.	87	source / citation mechanics	rule-bulk	c	нем	стк.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Comm.	74	source / citation mechanics	rule-bulk	c	лат	коммент.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Ausg.	73	source / citation mechanics	rule-bulk	c	нем	изд.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
v. u.	25	source / citation mechanics	rule-bulk	c	нем	снизу	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family	von unten (счет строк снизу); H1323 (pArAsapuli) читал как «см. ниже» — уточнить на карточке	agent (Sonnet 5, claude-sonnet-5), H1682
Inschr.	16	source / citation mechanics	rule-bulk	c	нем	надпись	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Ausgg.	12	source / citation mechanics	rule-bulk	c	нем	изд.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Anf.	10	source / citation mechanics	rule-bulk	c	нем	начало	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Cit.	10	source / citation mechanics	rule-bulk	c	нем	цит.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
p.	8	source / citation mechanics	rule-bulk	c	лат	стр.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
gedr.	8	source / citation mechanics	rule-bulk	c	нем	печ.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Einl.	7	source / citation mechanics	rule-bulk	c	нем	введ.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Hdschr.	5	source / citation mechanics	rule-bulk	c	нем	рукоп.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Scholl.	5	source / citation mechanics	rule-bulk	c	лат	схол.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Hdschrr.	5	source / citation mechanics	rule-bulk	c	нем	рукоп.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Calc. Ausg.	4	source / citation mechanics	rule-bulk	c	нем	калькутт. изд.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
ed.	3	source / citation mechanics	rule-bulk	c	лат	изд.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
a. a. O.	2	source / citation mechanics	rule-bulk	c	нем	указ. соч.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Unterschr.	2	source / citation mechanics	rule-bulk	c	нем	подпись	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Th.	2	source / citation mechanics	rule-bulk	c	нем	ч.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Aut.	2	source / citation mechanics	rule-bulk	c	нем	авт.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Rec.	1	source / citation mechanics	rule-bulk	c	лат	ред.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Uebers.	1	source / citation mechanics	rule-bulk	c	нем	пер.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Wörterb.	1	source / citation mechanics	rule-bulk	c	нем	словарь	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Aufl.	1	source / citation mechanics	rule-bulk	c	нем	изд.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
lith.	1	source / citation mechanics	rule-bulk	c	нем	литогр.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
St.	1	source / citation mechanics	rule-bulk	c	нем	место	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
Anm.	1	source / citation mechanics	rule-bulk	c	нем	прим.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
ungedr.	1	source / citation mechanics	rule-bulk	c	нем	неизд.	DA-vote N4 (ed. Bomb. = Бомбейская ред.) + N9 (Verz. d. Oxf. H.); Sch./Schol./Comm. translated as native Russian classical-philology forms (схол./коммент.), same rationale as the "see/cf." family		agent (Sonnet 5, claude-sonnet-5), H1682
