sup7_headword	in_mw72	in_mw99	mw99_annexure	class
citrapawa	N	Y	N	added-since-mw72
citraraktapawa	N	N	N	never-seen
citravidyA	N	Y	N	added-since-mw72
citray	N	N	N	never-seen
citriya	Y	Y	N	kept
cittAkarzin	N	Y	N	added-since-mw72
cittAnuparivartin	N	N	N	never-seen
cittaBeda	N	Y	N	added-since-mw72
cittaDArA	N	Y	N	added-since-mw72
cittaDAraRa	N	Y	Y	added-since-mw72
cittacOra	N	Y	N	added-since-mw72
cittacetasika	N	Y	N	added-since-mw72
cittanATa	N	Y	N	added-since-mw72
cityagni	N	Y	N	added-since-mw72
ciwiciwAy	N	N	N	never-seen
codana	Y	Y	N	kept
colacarita	N	N	N	never-seen
colaka	Y	Y	N	kept
colapawwaka	N	Y	N	added-since-mw72
colapparAjIya	N	N	N	never-seen
coqaka	N	Y	N	added-since-mw72
corapaYcASat	N	N	N	never-seen
cuScuzA	N	Y	N	added-since-mw72
cuYcu	Y	Y	N	kept
cubukadaGna	N	Y	N	added-since-mw72
cubukapratizWita	N	N	N	never-seen
cud	Y	Y	N	kept
culla	Y	Y	N	kept
culukI	N	N	N	never-seen
culump	Y	Y	N	kept
cumb	Y	Y	N	kept
cumbakamaRi	N	Y	N	added-since-mw72
cuw	Y	Y	N	kept
cyAvana	Y	Y	N	kept
cyavana	Y	Y	N	kept
cyu	Y	Y	N	kept
cyutisaMkrama	N	N	N	never-seen
cyutyupapatti˚	N	N	N	never-seen
dA	Y	Y	N	kept
dARqAjinika	N	Y	N	added-since-mw72
dAS	Y	Y	N	kept
dAda	Y	Y	N	kept
dAdada	N	Y	N	added-since-mw72
dAha	Y	Y	N	kept
dAkza	Y	Y	N	kept
dAkziReya	N	Y	Y	added-since-mw72
dAkziRya	Y	Y	Y	kept
dAmBa	N	Y	N	added-since-mw72
dAmodarIya	N	Y	N	added-since-mw72
dAmodaradeva	N	Y	N	added-since-mw72
dAnApnas	N	Y	N	added-since-mw72
dAna	Y	Y	N	kept
dAnaSAlA	N	Y	N	added-since-mw72
dAnamaya	N	Y	N	added-since-mw72
dAnavaSI	N	N	N	never-seen
dAntadeva	N	Y	N	added-since-mw72
dAntaka	N	Y	N	added-since-mw72
dArByUza	N	Y	Y	added-since-mw72
dArSI	N	N	N	never-seen
dAraka	Y	Y	N	kept
dArarakzitaka	N	Y	N	added-since-mw72
dArasaMbanDa	N	N	N	never-seen
dArila	N	Y	N	added-since-mw72
dAru	Y	Y	N	kept
dArvIca	N	N	N	never-seen
dArvihomika	N	Y	N	added-since-mw72
dAsIka	Y	N	N	dropped
dAsajIvana	N	Y	N	added-since-mw72
dAsaka	Y	Y	N	kept
dAsera	Y	Y	N	kept
dAtrAkarRa	N	Y	Y	added-since-mw72
dAtreya	N	Y	Y	added-since-mw72
dAvadahanajvAlAkalApAy	N	N	N	never-seen
dAyI	N	N	N	never-seen
dESika	Y	Y	N	kept
dEpa	Y	Y	N	kept
dEtyanizUdana	N	Y	N	added-since-mw72
dEvAdyanta	N	Y	N	added-since-mw72
dEvaSrAdDa	N	Y	N	added-since-mw72
dEvamAnuzaka	N	Y	N	added-since-mw72
dEvasaka	N	Y	N	added-since-mw72
dEvata	Y	Y	N	kept
dEvaviDi	N	Y	N	added-since-mw72
dEvejya	N	Y	N	added-since-mw72
dEvika	Y	Y	N	kept
dEvodAsi	N	Y	N	added-since-mw72
dEzwika	Y	Y	N	kept
dIdi	Y	Y	N	kept
dIkz	Y	Y	N	kept
dIkzitadaRqa	N	N	N	never-seen
dIkzitayAjYika	N	N	N	never-seen
dIkzya	N	N	N	never-seen
dIna	Y	Y	N	kept
dIp	Y	Y	N	kept
dIpAvatI	N	N	N	never-seen
dIpa	Y	Y	N	kept
dIrGAnuparivartin	N	Y	N	added-since-mw72
dIrGa	Y	Y	N	kept
dIrGakeSa	N	Y	N	added-since-mw72
dIrGalatAdruma	N	Y	N	added-since-mw72
dIrGay	N	N	N	never-seen
dIrGikA	Y	Y	N	kept
dOHSAsana	N	Y	N	added-since-mw72
dOrganDa	N	Y	N	added-since-mw72
dOrvacasya	Y	Y	N	kept
dOrvarRika	N	Y	N	added-since-mw72
dOzWulya	N	N	N	never-seen
dURASa	N	Y	N	added-since-mw72
dUrAdDi	N	N	N	never-seen
dUrApaRika	N	Y	N	added-since-mw72
dUracara	N	Y	N	added-since-mw72
dUrada	N	Y	N	added-since-mw72
dUrasUrya	N	Y	N	added-since-mw72
dUraveDa	N	Y	N	added-since-mw72
dUray	N	N	N	never-seen
dUreheti	N	Y	N	added-since-mw72
dUta	Y	Y	N	kept
dUtamuKa	N	Y	N	added-since-mw72
dUzay	N	N	N	never-seen
dUzya	Y	Y	N	kept
daB	Y	Y	N	kept
daDigaRa	N	N	N	never-seen
daDigrahapAtra	N	Y	N	added-since-mw72
daDipfzAtaka	N	Y	N	added-since-mw72
daDisamudra	N	Y	N	added-since-mw72
daG	Y	Y	N	kept
daMS	Y	Y	N	kept
daMzwrAkarAlavant	N	N	N	never-seen
daRqaBAsa	N	Y	N	added-since-mw72
daRqaDara	N	Y	N	added-since-mw72
daRqakalitavat	N	Y	N	added-since-mw72
daRqakamaRqalu	N	Y	N	added-since-mw72
daRqaleSa	N	Y	N	added-since-mw72
daRqamuKya	N	Y	N	added-since-mw72
daRqaniyoga	N	Y	N	added-since-mw72
daRqapASika	N	Y	Y	added-since-mw72
daRqaprajita	N	Y	N	added-since-mw72
daRqasTAna	N	Y	N	added-since-mw72
daRqavat	N	Y	N	added-since-mw72
daSAparipAka	N	Y	N	added-since-mw72
daSArDatA	N	Y	N	added-since-mw72
daSAvant	N	N	N	never-seen
daSaSatAra	N	Y	N	added-since-mw72
daSabadDa	N	Y	N	added-since-mw72
daSabalabalin	N	Y	N	added-since-mw72
daSalakzaRa	N	Y	N	added-since-mw72
daSanAli	N	Y	N	added-since-mw72
daSapUlI	N	Y	N	added-since-mw72
daSapala	N	Y	N	added-since-mw72
daSaraTalalitavrata	N	N	N	never-seen
daSayojanI	N	Y	N	added-since-mw72
daSottara	N	Y	Y	added-since-mw72
dadAti	N	Y	N	added-since-mw72
dahanasAraTi	N	Y	Y	added-since-mw72
dahyA	N	N	N	never-seen
dakarAkzasa	N	Y	N	added-since-mw72
dakzajA	N	Y	N	added-since-mw72
dakzaka	N	N	N	never-seen
dakzat	N	Y	N	added-since-mw72
dakziRAgavI	N	Y	N	added-since-mw72
dakziRAparABimuKa	N	Y	N	added-since-mw72
dakziRApavarga	N	Y	N	added-since-mw72
dakziRAprAgagra	N	Y	N	added-since-mw72
dakziRApraharaRa	N	Y	N	added-since-mw72
dakziRApratyakpravaRa	N	Y	N	added-since-mw72
dakziRArDapUrvArDa	N	Y	N	added-since-mw72
dakziRAvarta	N	Y	N	added-since-mw72
dakziRAyana	N	Y	N	added-since-mw72
dakziRIya	Y	Y	N	kept
dakziRa	Y	Y	N	kept
dakziRadeSana	N	N	N	never-seen
dakziRajAnvakta	N	N	N	never-seen
dakziRapUrvAyata	N	Y	N	added-since-mw72
dakziRapaYcAla	N	Y	N	added-since-mw72
dakziRatOpacAra	N	N	N	never-seen
dakziRataHsad	N	Y	N	added-since-mw72
dakziRatonyAya	N	Y	N	added-since-mw72
dakziRopakrama	N	Y	N	added-since-mw72
dakziRottara	N	Y	N	added-since-mw72
dal	Y	Y	N	kept
dalADISvara	N	Y	N	added-since-mw72
dala	Y	Y	N	kept
dalaSas	N	Y	N	added-since-mw72
dalakoSa	N	Y	N	added-since-mw72
dalavIwaka	N	Y	N	added-since-mw72
damaGozaja	N	Y	N	added-since-mw72
damaGozasuta	N	Y	N	added-since-mw72
damaSarIrin	N	Y	N	added-since-mw72
danDana	N	N	N	never-seen
danta	Y	Y	N	kept
dantapAYcAlikA	N	Y	Y	added-since-mw72
dantapAli	N	Y	N	added-since-mw72
dantapattrikA	N	Y	N	added-since-mw72
dantapravezwa	N	Y	N	added-since-mw72
dantaskavana	N	Y	N	added-since-mw72
dantolUKala	N	Y	N	added-since-mw72
danukabanDa	N	Y	N	added-since-mw72
darB	N	N	N	never-seen
darBaRa	N	N	N	never-seen
darBagurumuzwi	N	Y	N	added-since-mw72
darBapavitra	N	Y	N	added-since-mw72
darIBft	N	Y	N	added-since-mw72
darImant	N	N	N	never-seen
darS	N	N	N	never-seen
dardarAmra	N	Y	N	added-since-mw72
dardara	Y	Y	N	kept
darpaR	N	N	N	never-seen
darviBft	N	Y	N	added-since-mw72
darvyudAyuvana	N	Y	N	added-since-mw72
dattArka	N	N	N	never-seen
dattottara	N	Y	Y	added-since-mw72
dattvAdAna	N	Y	N	added-since-mw72
davara	N	Y	N	added-since-mw72
dazwavya	N	Y	Y	added-since-mw72
deSaBaNga	N	Y	N	added-since-mw72
deSakaRwaka	N	Y	N	added-since-mw72
deSakapawu	N	Y	N	added-since-mw72
deSopadeSa	N	Y	N	added-since-mw72
deSya	Y	Y	N	kept
deha	Y	Y	N	kept
dehaMBaravArttika	N	N	N	never-seen
dehabanDa	N	Y	N	added-since-mw72
dehalI	N	Y	N	added-since-mw72
dehapAta	N	Y	N	added-since-mw72
devI	N	Y	Y	added-since-mw72
deva	Y	Y	N	kept
devaBAzyasnAnaviDipadDati	N	Y	N	added-since-mw72
devadeveSa	N	Y	N	added-since-mw72
devagava	N	Y	N	added-since-mw72
devaheqana	N	Y	N	added-since-mw72
devaka	Y	Y	N	kept
devakulika	N	Y	N	added-since-mw72
devalakzma	N	Y	N	added-since-mw72
devamaDu	N	Y	N	added-since-mw72
devamanuzya	N	Y	N	added-since-mw72
devanAma	N	Y	N	added-since-mw72
devanandin	N	Y	N	added-since-mw72
devaniSrayaRI	N	Y	N	added-since-mw72
devanikAya	N	Y	N	added-since-mw72
devapAtra	N	Y	N	added-since-mw72
devapraBa	N	Y	N	added-since-mw72
devapurohita	N	Y	N	added-since-mw72
devasaKi	N	Y	N	added-since-mw72
devasatya	N	Y	N	added-since-mw72
devasena	N	Y	N	added-since-mw72
devatAmaya	N	Y	N	added-since-mw72
devatejyA	N	Y	N	added-since-mw72
devatya	Y	Y	N	kept
devayAnIya	N	Y	N	added-since-mw72
devayaSasa	N	Y	Y	added-since-mw72
devayoni	N	Y	N	added-since-mw72
devikAhavis	N	N	N	never-seen
dfQakzurA	N	Y	N	added-since-mw72
dfQamuzwi	N	Y	N	added-since-mw72
dfQekzurA	N	Y	N	added-since-mw72
dfQikA	N	N	N	never-seen
dfSIku	N	Y	Y	added-since-mw72
dfSvarI	N	N	N	never-seen
dfgruD	N	Y	N	added-since-mw72
dfkkarRa	Y	Y	N	kept
dfti	Y	Y	N	kept
dfzant	N	N	N	never-seen
dfzwAntavant	N	N	N	never-seen
dfzwaDarma	N	Y	N	added-since-mw72
dfzwaDarmika	N	Y	N	added-since-mw72
dfzwacara	N	Y	N	added-since-mw72
dfzwahAni	N	Y	N	added-since-mw72
dfzwapUrvin	N	Y	N	added-since-mw72
dfzwi	Y	Y	N	kept
dfzwigata	N	Y	N	added-since-mw72
dfzwika	N	Y	N	added-since-mw72
dfzwipanTan	N	N	N	never-seen
dfzwivikzepa	N	Y	N	added-since-mw72
diNmAtra	N	Y	N	added-since-mw72
diNnAda	N	N	N	never-seen
diRqika	N	N	N	never-seen
diS	Y	Y	N	kept
diSodAha	N	Y	N	added-since-mw72
digDavidDa	N	Y	N	added-since-mw72
digIS	N	N	N	never-seen
digambara	N	Y	N	added-since-mw72
digvastra	N	Y	N	added-since-mw72
digvilokita	N	N	N	never-seen
digvyApin	N	Y	N	added-since-mw72
dih	Y	Y	N	kept
dinAdi	N	Y	N	added-since-mw72
dinamuKa	N	Y	N	added-since-mw72
dinapAwikA	N	Y	N	added-since-mw72
dinarAja	N	Y	N	added-since-mw72
dinavAra	N	Y	N	added-since-mw72
divABIta	N	Y	N	added-since-mw72
divASayyA	N	Y	N	added-since-mw72
divAniSam	N	Y	N	added-since-mw72
divAvihAra	N	Y	N	added-since-mw72
divOkasa	N	Y	N	added-since-mw72
divyadarSana	N	Y	N	added-since-mw72
divyatA	N	Y	N	added-since-mw72
divyavarzasahasraka	N	N	N	never-seen
dolAyudDa	N	Y	N	added-since-mw72
doza	Y	Y	N	kept
dozaBedIya	N	Y	N	added-since-mw72
dozaguRin	N	Y	N	added-since-mw72
drA	Y	Y	N	kept
drApi	Y	Y	N	kept
drU	Y	Y	N	kept
draQiman	Y	Y	N	kept
dramiqa	N	Y	N	added-since-mw72
drava	Y	Y	N	kept
dravamaya	N	Y	N	added-since-mw72
dravant	N	N	N	never-seen
dravetara	N	Y	N	added-since-mw72
draviReSvara	N	Y	N	added-since-mw72
dravya	Y	Y	N	kept
dravyajAta	N	Y	N	added-since-mw72
dravyamAtrA	N	N	N	never-seen
dravyaprakalpana	N	Y	N	added-since-mw72
droRamuKa	N	Y	N	added-since-mw72
droRi	Y	Y	N	kept
dru	Y	Y	N	kept
drumBUlI	N	Y	N	added-since-mw72
drumavAsin	N	Y	N	added-since-mw72
du	Y	Y	N	kept
duHKAnarha	N	Y	N	added-since-mw72
duHKAsikA	N	Y	N	added-since-mw72
duHKaSokavant	N	N	N	never-seen
duHKahan	N	Y	N	added-since-mw72
duHKajIvin	N	Y	N	added-since-mw72
duHKaprAya	N	Y	N	added-since-mw72
duHKasparSa	N	Y	N	added-since-mw72
duHKavasati	N	Y	N	added-since-mw72
duHKayoga	N	Y	N	added-since-mw72
duHKilatA	N	N	N	never-seen
duHSlizwa	N	N	N	never-seen
duHzamAprABfta	N	N	N	never-seen
duScakzas	N	Y	N	added-since-mw72
dugDamuKa	N	Y	N	added-since-mw72
dugDasamudra	N	Y	N	added-since-mw72
duh	Y	Y	N	kept
durADi	Y	Y	N	kept
durASaMsin	N	Y	N	added-since-mw72
durAkrAma	N	Y	N	added-since-mw72
durAsada	N	Y	N	added-since-mw72
durAvara	N	Y	N	added-since-mw72
durBakza	N	Y	N	added-since-mw72
durBara	N	Y	N	added-since-mw72
durDarza	N	Y	N	added-since-mw72
durDyAna	N	Y	N	added-since-mw72
durIkza	N	Y	N	added-since-mw72
duraBi	N	Y	N	added-since-mw72
duraBisaMBava	N	N	N	never-seen
duraDISvara	N	Y	N	added-since-mw72
duraDyaya	N	Y	N	added-since-mw72
duraHpraBfti	N	Y	N	added-since-mw72
duranuneya	N	Y	N	added-since-mw72
duranuvartya	N	Y	N	added-since-mw72
duranvaya	N	Y	N	added-since-mw72
duravagAha	N	Y	N	added-since-mw72
durbalendriya	N	Y	N	added-since-mw72
durdohA	N	Y	N	added-since-mw72
durgAhlAda	N	Y	N	added-since-mw72
durgAsAvitri	N	N	N	never-seen
duritArRava	N	Y	N	added-since-mw72
durliKita	N	Y	N	added-since-mw72
durmaNku	N	Y	N	added-since-mw72
durmaryAda	N	Y	N	added-since-mw72
durmarzaRa	N	Y	N	added-since-mw72
durnIti	N	Y	N	added-since-mw72
durnivedya	N	Y	N	added-since-mw72
durnyasta	N	Y	N	added-since-mw72
durudAhara	N	Y	N	added-since-mw72
durupasada	Y	Y	N	kept
durvaYca	N	Y	N	added-since-mw72
durvarAha	N	Y	N	added-since-mw72
durvfzwi	N	Y	N	added-since-mw72
durvyavahfti	N	Y	N	added-since-mw72
duryoga	N	Y	N	added-since-mw72
dustawI	N	N	N	never-seen
duz	Y	Y	N	kept
duzWulArocana	N	N	N	never-seen
duzWulapraticCAdana	N	N	N	never-seen
duzkuhaka	N	Y	N	added-since-mw72
duzparimfzwa	N	Y	N	added-since-mw72
duzpoza	N	Y	N	added-since-mw72
duzpraBaYjana	N	Y	N	added-since-mw72
duzprada	N	Y	N	added-since-mw72
duzprakriyA	N	Y	N	added-since-mw72
duzpramaya	N	Y	N	added-since-mw72
duzyanta	Y	Y	N	kept
dvAdaSAyoga	N	Y	N	added-since-mw72
dvAdaSaSatadakziRa	N	Y	N	added-since-mw72
dvAdaSamaYjarikAstotra	N	N	N	never-seen
dvAdaSapaYjarikAstotra	N	Y	N	added-since-mw72
dvAdaSapuzkara	N	Y	N	added-since-mw72
dvAdaSavargIyA	N	Y	N	added-since-mw72
dvAdaSavarzika	N	N	N	never-seen
dvAdaSayoga	N	Y	N	added-since-mw72
dvAra	Y	Y	N	kept
dvArakozWaka	N	N	N	never-seen
dvArapiDAna	N	Y	N	added-since-mw72
dvArasTURA	N	Y	N	added-since-mw72
dvArbAhu	N	Y	N	added-since-mw72
dvAsAha	N	N	N	never-seen
dvEDaMkAram	N	Y	N	added-since-mw72
dvEtavAdin	N	Y	N	added-since-mw72
dvIpavant	N	N	N	never-seen
dvIpeSa	N	Y	N	added-since-mw72
dvIpin	Y	Y	N	kept
dvaMdva	N	Y	N	added-since-mw72
dvaMdvasaMprahAra	N	N	N	never-seen
dvayadvayasamApatti	N	Y	N	added-since-mw72
dveDAkAram	N	Y	N	added-since-mw72
dveDAkriyA	N	Y	N	added-since-mw72
dvezoyavana	N	Y	N	added-since-mw72
dviBAdra	N	Y	N	added-since-mw72
dviBAga	N	Y	N	added-since-mw72
dviDUrvaha	N	Y	N	added-since-mw72
dviHsama	N	Y	N	added-since-mw72
dviSavas	N	Y	N	added-since-mw72
dvicakra	N	Y	N	added-since-mw72
dvidala	N	Y	N	added-since-mw72
dvidevatyapAtra	N	Y	N	added-since-mw72
dvijarAja	N	Y	N	added-since-mw72
dvijatva	N	Y	N	added-since-mw72
dvikAlam	N	Y	N	added-since-mw72
dvimUrDan	N	Y	N	added-since-mw72
dvinizWa	N	N	N	never-seen
dvipAtra	N	Y	N	added-since-mw72
dvipAtrika	N	Y	N	added-since-mw72
dvipeSvara	N	Y	N	added-since-mw72
dvipitar	N	N	N	never-seen
dvipratihAra	N	Y	N	added-since-mw72
dvirAja	N	Y	N	added-since-mw72
dvirnagna	N	Y	N	added-since-mw72
dvisrakti	N	Y	N	added-since-mw72
dvitIyaka	Y	Y	N	kept
dvitris	N	Y	N	added-since-mw72
dvivfntAy	N	N	N	never-seen
dvivrata	N	Y	N	added-since-mw72
dvivyAma	N	Y	N	added-since-mw72
dviyaja	N	Y	N	added-since-mw72
dvyAcita	N	Y	N	added-since-mw72
dvyaRukIy	N	N	N	never-seen
dvyanIka	N	Y	N	added-since-mw72
dyUtaBUmi	N	Y	N	added-since-mw72
dyUtakiMkarI	N	Y	N	added-since-mw72
dyUtamaRqala	N	Y	N	added-since-mw72
dyotA	N	Y	N	added-since-mw72
dyuDAman	N	Y	N	added-since-mw72
dyudantin	N	Y	N	added-since-mw72
dyujana	N	Y	N	added-since-mw72
dyumaryAda	N	Y	N	added-since-mw72
dyumaryAdavant	N	N	N	never-seen
dyumna	Y	Y	N	kept
dyupuraMDri	N	Y	N	added-since-mw72
dyuratna	N	Y	N	added-since-mw72
dyut	Y	Y	N	kept
e	Y	Y	N	kept
eD	Y	Y	N	kept
eRANka	Y	Y	N	kept
eRaka	N	Y	N	added-since-mw72
eRatilaka	N	Y	N	added-since-mw72
eRavilocanA	N	N	N	never-seen
ehiBikzukA	N	Y	Y	added-since-mw72
ekABiBAva	N	N	N	never-seen
ekASIticakrodDAra	N	N	N	never-seen
ekAdaSANgavedin	N	N	N	never-seen
ekAdaSAtmaka	N	N	N	never-seen
ekAdaSImAhAtmya	N	N	N	never-seen
ekAdaSacCadi	N	Y	N	added-since-mw72
ekAdaSaprayoga	N	N	N	never-seen
ekAdaSini	N	N	N	never-seen
ekAgra	N	Y	N	added-since-mw72
ekAkAra	N	N	N	never-seen
ekAkfti	N	N	N	never-seen
ekAkzara	N	Y	N	added-since-mw72
ekAkzipiNgalin	N	Y	Y	added-since-mw72
ekAntI	N	N	N	never-seen
ekAnta	Y	Y	N	kept
ekArkamaRi	N	N	N	never-seen
ekArzeya	N	Y	Y	added-since-mw72
ekAsanika	N	Y	N	added-since-mw72
ekAtapatra	N	Y	N	added-since-mw72
ekAtmapakza	N	Y	Y	added-since-mw72
ekAtmavAdin	N	N	N	never-seen
ekAvacAraka	N	N	N	never-seen
ekAyanIBAva	N	Y	Y	added-since-mw72
ekAzwakAdIkzin	N	N	N	never-seen
ekEkatra	N	Y	Y	added-since-mw72
ekIBAvastotra	N	Y	Y	added-since-mw72
ekIya	Y	Y	Y	kept
ekaBAga	N	Y	N	added-since-mw72
ekaBUyaMs	N	N	N	never-seen
ekaDAraka	N	Y	N	added-since-mw72
ekaDana	N	Y	N	added-since-mw72
ekaDyam	N	N	N	never-seen
ekaSAKa	N	Y	N	added-since-mw72
ekaSAstravAda	N	N	N	never-seen
ekaSIlasamAcAra	N	N	N	never-seen
ekaSIrzA	N	N	N	never-seen
ekaSUla	N	Y	Y	added-since-mw72
ekaSaNKa	N	N	N	never-seen
ekaSarIrin	N	Y	Y	added-since-mw72
ekaSayyAsanASana	N	N	N	never-seen
ekaSayyAsana	N	N	N	never-seen
ekaSeza	N	Y	Y	added-since-mw72
ekaSfNga	N	Y	N	added-since-mw72
ekaSila	N	N	N	never-seen
ekaSlokIvyAKyA	N	N	N	never-seen
ekaberapratizWAviDi	N	N	N	never-seen
ekacCAyApravizwa	N	Y	Y	added-since-mw72
ekadIkzin	N	N	N	never-seen
ekadeSin	N	Y	N	added-since-mw72
ekadeha	N	Y	N	added-since-mw72
ekadugDa	N	Y	N	added-since-mw72
ekadvfca	N	N	N	never-seen
ekadvyantaratryantarASin	N	N	N	never-seen
ekagarBa	N	Y	Y	added-since-mw72
ekagraha	N	N	N	never-seen
ekahAvin	N	N	N	never-seen
ekahavis	N	N	N	never-seen
ekahelam	N	N	N	never-seen
ekahotar	N	N	N	never-seen
ekajvAlI	N	N	N	never-seen
ekajyAvargavikala	N	N	N	never-seen
ekakArya	N	Y	N	added-since-mw72
ekakarRa	N	N	N	never-seen
ekakara	N	Y	N	added-since-mw72
ekakarapAda	N	N	N	never-seen
ekakarman	N	Y	Y	added-since-mw72
ekakriya	N	Y	N	added-since-mw72
ekaloka	N	Y	Y	added-since-mw72
ekamAlA	N	N	N	never-seen
ekamAsa	N	N	N	never-seen
ekanATAryaBAgavata	N	N	N	never-seen
ekanArASaMsa	N	N	N	never-seen
ekaniBa	N	Y	Y	added-since-mw72
ekapAka	N	N	N	never-seen
ekapAtin	N	Y	Y	added-since-mw72
ekapAtra	N	Y	N	added-since-mw72
ekapaSuka	N	Y	N	added-since-mw72
ekapadam	N	Y	Y	added-since-mw72
ekaparvan	N	N	N	never-seen
ekapati	N	Y	Y	added-since-mw72
ekaputra	N	Y	N	added-since-mw72
ekapuzkala	N	Y	N	added-since-mw72
ekapuzkara	N	N	N	never-seen
ekaraSmi	N	N	N	never-seen
ekaraTa	N	Y	N	added-since-mw72
ekasAmi	N	N	N	never-seen
ekasAra	N	N	N	never-seen
ekasTAlIsahAya	N	N	N	never-seen
ekasamutTa	N	N	N	never-seen
ekasara	N	N	N	never-seen
ekasarga	N	Y	N	added-since-mw72
ekasfka	N	Y	N	added-since-mw72
ekastana	N	N	N	never-seen
ekasvizwakft	N	N	N	never-seen
ekatantra	N	N	N	never-seen
ekatejana	N	Y	N	added-since-mw72
ekatomuKa	N	Y	Y	added-since-mw72
ekatvasidDivAda	N	N	N	never-seen
ekatya	N	N	N	never-seen
ekavAram	N	Y	N	added-since-mw72
ekavIcika	N	N	N	never-seen
ekavarRa	N	Y	N	added-since-mw72
ekavara	N	N	N	never-seen
ekavartanin	N	Y	Y	added-since-mw72
ekaveSman	N	Y	N	added-since-mw72
ekaveda	N	Y	Y	added-since-mw72
ekavfkzIya	N	Y	Y	added-since-mw72
ekavfza	N	Y	N	added-since-mw72
ekaviMSatiDAman	N	N	N	never-seen
ekaviMSaticCadi	N	Y	Y	added-since-mw72
ekaviMSavartani	N	N	N	never-seen
ekavidya	N	N	N	never-seen
ekavrata	N	Y	N	added-since-mw72
ekavyUha	N	Y	Y	added-since-mw72
ekavyUhaviBAga	N	N	N	never-seen
ekayoga	N	Y	N	added-since-mw72
ekendriyasaMjYA	N	N	N	never-seen
ekolmuka	N	Y	N	added-since-mw72
ekonapaYcASadDA	N	N	N	never-seen
ekonaviMSatimuKa	N	N	N	never-seen
eqAkzipuzpa	N	N	N	never-seen
eqa	Y	Y	N	kept
eqameqa	N	N	N	never-seen
eqavaRa	N	N	N	never-seen
eraRqa	Y	Y	N	kept
eraka	Y	Y	N	kept
etadupanizad	N	Y	Y	added-since-mw72
etadvid	N	N	N	never-seen
etadyoni	N	Y	N	added-since-mw72
etatkAla	N	N	N	never-seen
etatpraBfti	N	Y	Y	added-since-mw72
evAza	N	Y	Y	added-since-mw72
evaMBAgIya	N	N	N	never-seen
evaMSIla	N	Y	Y	added-since-mw72
evaMdevata	N	N	N	never-seen
evaMgotra	N	Y	Y	added-since-mw72
evaMkarman	N	Y	Y	added-since-mw72
evaMkramaka	N	N	N	never-seen
evaMkxpta	N	Y	Y	added-since-mw72
evaMlakzaRa	N	N	N	never-seen
evaMpariRAma	N	N	N	never-seen
evaMpramuKa	N	N	N	never-seen
evaMpravAda	N	N	N	never-seen
evaMsaMjYin	N	N	N	never-seen
evaMsuKaduHKaprativedin	N	N	N	never-seen
evaMvAdin	N	N	N	never-seen
evaMvarRa	N	N	N	never-seen
evaMvfttasamAcAra	N	N	N	never-seen
evaMvidus	N	Y	Y	added-since-mw72
evaMvihita	N	N	N	never-seen
evaMyukta	N	N	N	never-seen
evam	Y	Y	N	kept
evamAyuzyaparyanta	N	N	N	never-seen
evamAyuzyapramARa	N	N	N	never-seen
ewaka	N	N	N	never-seen
ez	Y	Y	N	kept
ezwar	N	N	N	never-seen
fRa	Y	Y	N	kept
fRaDara	N	N	N	never-seen
fRahara	N	N	N	never-seen
fRavimocanaSAnti	N	N	N	never-seen
fYjase	N	N	N	never-seen
fbIsapakva	N	Y	N	added-since-mw72
fcaka	N	N	N	never-seen
fcase	N	N	N	never-seen
fdDa	Y	Y	N	kept
fdDimant	N	N	N	never-seen
fdDyaBisaMskAra	N	Y	Y	added-since-mw72
fguttama	N	Y	N	added-since-mw72
fgvedapada	N	N	N	never-seen
fgyajuHsAmAdimaya	N	N	N	never-seen
fjukarma	N	N	N	never-seen
fjuvivaraRa	N	N	N	never-seen
fjvAgata	N	Y	Y	added-since-mw72
fkza	Y	Y	N	kept
fkzabila	N	Y	Y	added-since-mw72
fkzakarRI	N	Y	Y	added-since-mw72
fkzavarRa	N	Y	Y	added-since-mw72
fllIsaka	N	N	N	never-seen
fta	Y	Y	N	kept
ftaSrI	N	Y	Y	added-since-mw72
ftavya	Y	Y	N	kept
fte	Y	Y	N	kept
fteBaNga	N	Y	Y	added-since-mw72
ftespya	N	N	N	never-seen
ftokti	N	Y	Y	added-since-mw72
ftudevata	N	Y	Y	added-since-mw72
ftugamana	N	Y	Y	added-since-mw72
ftumuKIya	N	N	N	never-seen
ftupAtra	N	Y	N	added-since-mw72
ftusamAhAra	N	N	N	never-seen
ftusamAveSana	N	Y	Y	added-since-mw72
ftuvyAvftti	N	Y	Y	added-since-mw72
ftva	N	Y	N	added-since-mw72
ftvan	N	Y	Y	added-since-mw72
ftvya	N	Y	N	added-since-mw72
fzaBa	Y	Y	Y	kept
fzaBacarma	N	Y	Y	added-since-mw72
fzaBanATacaritra	N	N	N	never-seen
fzi	Y	Y	N	kept
fzideSa	N	Y	N	added-since-mw72
fzikalpa	N	Y	N	added-since-mw72
fzimaRqalaprakaraRa	N	N	N	never-seen
fzivAwa	N	Y	Y	added-since-mw72
fzwika	N	Y	N	added-since-mw72
gA	Y	Y	N	kept
gADiBU	N	Y	N	added-since-mw72
gANgOcya	N	N	N	never-seen
gAQavarcastva	N	Y	N	added-since-mw72
gARqAlI	N	Y	N	added-since-mw72
gATAnArASaMsI	N	Y	N	added-since-mw72
gAh	Y	Y	N	kept
gAjara	N	Y	Y	added-since-mw72
gAmBIra	N	Y	N	added-since-mw72
