id	k1	hom	stratum	rule	agent_verdict	pwg_members	index_members	vs_index_class	length_bucket	freq_bucket	freq_count	L_id	pwg_source_paren	mw_k2_raw
priyaMkara	priyaMkara		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	priyam + kara	priya + Mkara	same_count_diff_split	medium(9-10)	high(>=10)	13	51013	({#priyam#}, <ab>acc.</ab> von {#priya#} + <hom>1.</hom> {#kara#})	priya—M-kara
puMvfza	puMvfza		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	pumaMs + vfza	puM + vfza	same_count_diff_split	short(<=8)	no_dcs_freq		45618	({#pumaMs#} + {#vfza#})	puM—vfza
uBayaMkara	uBayaMkara		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	uBayam + kara	uBaya + Mkara	same_count_diff_split	medium(9-10)	low(1-2)	1	12372	({#uBayam#}, <ab>acc.</ab> von {#uBaya#}, + {#kara#})	uBaya—Mkara/
pAWacCeda	pAWacCeda		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	pAWa + Ceda	pAWa + cCeda	same_count_diff_split	medium(9-10)	no_dcs_freq		44097	({#pAWa#} + {#Ceda#})	pAWa—cCeda
jAyAjIva	jAyAjIva		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	jAyA + AjIva	jAyA + jIva	same_count_diff_split	short(<=8)	no_dcs_freq		27331	({#jAyA#} + {#AjIva#})	jAyA—jIva
BagaMdara	BagaMdara		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	Bagam + dara	Baga + Mdara	same_count_diff_split	medium(9-10)	high(>=10)	116	53781	({#Bagam#}, <ab>acc.</ab> von {#Baga#}, + {#dara#})	Baga—M-dara
SrISa	SrISa		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	SrI + ISa	SrI + Sa	same_count_diff_split	short(<=8)	high(>=10)	10	101771	(<hom>5.</hom> {#SrI#} + {#ISa#})	SrI—Sa
dvisItya	dvisItya		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	dvi + sItA	dvi + sItya	same_count_diff_split	short(<=8)	no_dcs_freq		35879	({#dvi#} + {#sItA#})	dvi—sItya
SilIBUta	SilIBUta		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	SilA + BU	SilI + BUta	same_count_diff_split	short(<=8)	no_dcs_freq		99578	(von <hom>1.</hom> {#SilA#} + <hom>1.</hom> {#BU#})	SilI—BUta
KagAsana	KagAsana		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	Kaga + Asana	Ka + gAsana	same_count_diff_split	short(<=8)	no_dcs_freq		20771	({#Kaga#} + {#Asana#})	Ka—gAsana
raRaMjaya	raRaMjaya		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	raRam + jaya	raRa + Mjaya	same_count_diff_split	medium(9-10)	low(1-2)	2	83108	({#raRam#}, <ab>acc.</ab> von {#raRa#}, + {#jaya#})	raRa—M-jaya
gajadantaPalA	gajadantaPalA		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	gajadanta + Pala	gaja + danta + PalA	member_count_diff	long(>=11)	low(1-2)	2	21385	({#gajadanta#} + {#Pala#})	gaja—danta—PalA
DAmacCad	DAmacCad		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	DAman + Cad	DAma + cCad	same_count_diff_split	short(<=8)	no_dcs_freq		36604	(<hom>1.</hom> {#DAman#} + {#Cad#})	DAma—cCa/d
triBajyA	triBajyA		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	triBa + jyA	tri + Ba + jyA	member_count_diff	short(<=8)	no_dcs_freq		31054	({#triBa#} + {#jyA#})	tri—Ba—jyA
nEkaBeda	nEkaBeda		residual-undersized	pwg_member_typo_in_source	index_members-right	nEka + Bade	nEka + Beda	same_count_diff_split	short(<=8)	no_dcs_freq		40869	({#nEka#} + {#Bade#})	nEka—Beda
mahAgada~~h1	mahAgada	1	mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	mahA + agada	mahA + gada	same_count_diff_split	short(<=8)	mid(3-9)	8	58376	({#mahA#} + <hom>2.</hom> {#agada#})	mahA—gada
tilataRqulaka	tilataRqulaka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	tila + taRqula	tila + taRqulaka	same_count_diff_split	long(>=11)	mid(3-9)	4	29760	({#tila#} + {#taRqula#})	tila—taRqulaka
dvEDIkaraRa	dvEDIkaraRa		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	dvEDa + kar	dvEDI + karaRa	same_count_diff_split	long(>=11)	no_dcs_freq		35934	(von {#dvEDa#} + <hom>1.</hom> {#kar#})	dvEDI—karaRa
gopAlamaWa	gopAlamaWa		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	gopAla + maWa	go + pAla + maWa	member_count_diff	medium(9-10)	no_dcs_freq		23208	({#gopAla#} + {#maWa#})	go—pAla—maWa
tamori	tamori		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	tamas + ari	tamo + ri	same_count_diff_split	short(<=8)	low(1-2)	2	28857	({#tamas#} + {#ari#})	tamo—'ri
nAnArTa	nAnArTa		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	nAnA + arTa	nAnA + rTa	same_count_diff_split	short(<=8)	low(1-2)	2	38386	({#nAnA#} + {#arTa#})	nAnA—rTa
uttaraMga~~h2	uttaraMga	2	mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	uttaram + ga	uttara + Mga	same_count_diff_split	medium(9-10)	no_dcs_freq		10895	({#uttaram#}, <ab>acc.</ab> oder <lex>adv.</lex> von <hom>1.</hom> {#uttara#}, + {#ga#})	uttara—M-ga
gopradAnika	gopradAnika		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	go + pradAna	go + pradAnika	same_count_diff_split	long(>=11)	no_dcs_freq		73059	(von {#go#} + {#pradAna#})	go—pradAnika
saBAga~~h1	saBAga	1	cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	saBA + ga	sa + BAga	same_count_diff_split	short(<=8)	mid(3-9)	3	105177	({#saBA#} + <hom>1.</hom> {#ga#})	sa—BAga
