k1	hom	lex	accented	index_token	stem_class	compound_members	irregularities
jIvatokA		adj.	jIvatokA	mfn·2+2	ā-stem	jIva+tokA	compound:2_members;tri_gender_adj
jIvatpitar		m.	jIvatpitar	m·8√	consonant-stem		
jIvadatta		m.	jIvadatta	m·1+2	a-stem	jIva+datta	compound:2_members
jIvadeva		m.	jIvadeva	m·1+2	a-stem	jIva+deva	compound:2_members
jIvana		adj.	jIvana	mfn·1	a-stem		tri_gender_adj
jIvanada		m.	jIvanada	m·1+2	a-stem	jIvana+da	compound:2_members
jIvanAya		m.	jIvanAya	m·1+2	a-stem	jIva+nAya	compound:2_members
jIvanti		m.	jIvanti	m·3	i-stem		
jIvaputra		m.	jIvaputra	m·1+2	a-stem	jIva+putra	compound:2_members
jIvapuzwA		f.	jIvapuzwA	f·2+2	ā-stem	jIva+puzwA	compound:2_members;ā_stem_f(§364)
jIvapraja		adj.	jIvapraja	mfn·1+2	a-stem	jIva+praja	compound:2_members;tri_gender_adj
jIvamiSra		m.	jIvamiSra	m·1+2	a-stem	jIva+miSra	compound:2_members
jIvarAjadIkzita		m.	jIvarAjadIkzita	m·1+3	a-stem	jIva+rAja+dIkzita	compound:3_members
jIvavicAra		m.	jIvavicAra	m·1+2	a-stem	jIva+vicAra	compound:2_members
jIvavinaya		m.	jIvavinaya	m·1+2	a-stem	jIva+vinaya	compound:2_members
jIvasAkzin		adj.	jIvasAkzin	mfn·8i+2	consonant-stem	jIva+sAkzin	compound:2_members;tri_gender_adj
jIvikAmAtratA		n.	jIvikAmAtratA	n·2	ā-stem		
jIvita		adj.	jIvita	mfn·1	a-stem		tri_gender_adj
jugupsita		n.	jugupsita	n·1	a-stem		
jUwaka		f.	jUwaka	f·1	a-stem		
jUti		m.	jUti	m·3	i-stem		
jUmaranandin		m.	jUmaranandin	m·8i	consonant-stem		
jUrI		f.	jUrI	f·4	ī-stem		
jfmBaka		adj.	jfmBaka	mfn·1	a-stem		tri_gender_adj
jejjawa		m.	jejjawa	m·1	a-stem		
jEkajihmi		m.	jEkajihmi	m·3	i-stem		
jEjjawa		m.	jEjjawa	m·1	a-stem		
jEtraraTa		adj.	jEtraraTa	mfn·1+2	a-stem	jEtra+raTa	compound:2_members;tri_gender_adj
jEna	1	m.	jEna	m·1	a-stem		
jEnapAla		m.	jEnapAla	m·1+2	a-stem	jEna+pAla	compound:2_members
jEminIya		adj.	jEminIya	mfn·1	a-stem		tri_gender_adj
jEhmati		m.	jEhmati	m·3	i-stem		
jEhmAkani		m.	jEhmAkani	m·3	i-stem		
jOmara		m.	jOmara	m·1	a-stem		
jYaptiprAmARyavAda		m.	jYaptiprAmARyavAda	m·1	a-stem		
jYAtatA		f.	jYAtatA	f·2+2	ā-stem	jYAta+tA	compound:2_members;ā_stem_f(§364)
jYAtar		n.	jYAtar	n·8√	consonant-stem		
jYAna		f.	jYAna	f·1	a-stem		
jYAnakanda		m.	jYAnakanda	m·1+2	a-stem	jYAna+kanda	compound:2_members
jYAnagarBastotra		n.	jYAnagarBastotra	n·1	a-stem		
jYAnaGanAcArya		m.	jYAnaGanAcArya	m·1+2	a-stem	jYAna+GanAcArya	compound:2_members
jYAnacakzus		adj.	jYAnacakzus	mfn·8s+2	consonant-stem	jYAna+cakzus	compound:2_members;tri_gender_adj
jYAnacandra		m.	jYAnacandra	m·1+2	a-stem	jYAna+candra	compound:2_members
jYAnatIrTa		n.	jYAnatIrTa	n·1+2	a-stem	jYAna+tIrTa	compound:2_members
jYAnatva		n.	jYAnatva	n·1+2	a-stem	jYAna+tva	compound:2_members
jYAnadeva		m.	jYAnadeva	m·1+2	a-stem	jYAna+deva	compound:2_members
jYAnadvayakAraRatAvicAra		m.	jYAnadvayakAraRatAvicAra	m·1	a-stem		
jYAnapUjA		f.	jYAnapUjA	f·2	ā-stem		ā_stem_f(§364)
jYAnapradIpa		m.	jYAnapradIpa	m·1+2	a-stem	jYAna+pradIpa	compound:2_members
jYAnapraboDamaYjarI		f.	jYAnapraboDamaYjarI	f·4	ī-stem		
jYAnamArga		m.	jYAnamArga	m·1+2	a-stem	jYAna+mArga	compound:2_members
jYAnamAlA		f.	jYAnamAlA	f·2+2	ā-stem	jYAna+mAlA	compound:2_members;ā_stem_f(§364)
jYAnamudrA		f.	jYAnamudrA	f·2+2	ā-stem	jYAna+mudrA	compound:2_members;ā_stem_f(§364)
jYAnayoga		m.	jYAnayoga	m·1+2	a-stem	jYAna+yoga	compound:2_members
jYAnaratnAvalI		f.	jYAnaratnAvalI	f·4+2	ī-stem	jYAna+ratnAvalI	compound:2_members
jYAnalakzaRavAdArTa		m.	jYAnalakzaRavAdArTa	m·1	a-stem		
jYAnavarman		m.	jYAnavarman	m·8n*+2	consonant-stem	jYAna+varman	compound:2_members
jYAnaSataka		n.	jYAnaSataka	n·1	a-stem		
jYAnaSrI		m.	jYAnaSrI	m·4+2	ī-stem	jYAna+SrI	compound:2_members
jYAnasaMtAna		m.	jYAnasaMtAna	m·1+2	a-stem	jYAna+saMtAna	compound:2_members
jYAnasidDi		m.	jYAnasidDi	m·3+2	i-stem	jYAna+sidDi	compound:2_members
jYAnAtman		m.	jYAnAtman	m·8n*	consonant-stem		
jYAnAnandasamuccaya		m.	jYAnAnandasamuccaya	m·1	a-stem		
jYAnAvaraRa		n.	jYAnAvaraRa	n·1	a-stem		
jYAnottama		m.	jYAnottama	m·1	a-stem		
jYAnottara		n.	jYAnottara	n·1	a-stem		
jYIpsA		f.	jYIpsA	f·2	ā-stem		ā_stem_f(§364)
jYeyamallaka		m.	jYeyamallaka	m·1+2	a-stem	jYeya+mallaka	compound:2_members
jyezWatarA		f.	jyezWatarA	f·2+2	ā-stem	jyezWa+tarA	compound:2_members;ā_stem_f(§364)
jyezWatva		n.	jyezWatva	n·1+2	a-stem	jyezWa+tva	compound:2_members
jyezWayajYa		m.	jyezWayajYa/	m·1b+2	a-stem	jyezWa+yajYa	compound:2_members
jyezWavara		m.	jyezWavara/	m·1b+2	a-stem	jyezWa+vara	compound:2_members
jyezWAnujyezWatA		f.	jyezWAnujyezWatA	f·2	ā-stem		ā_stem_f(§364)
jyotirgarga		m.	jyotirgarga	m·1+2	a-stem	jyotir+garga	compound:2_members
jyotirnirbanDa		m.	jyotirnirbanDa	m·1+2	a-stem	jyotir+nirbanDa	compound:2_members
jyotirmantra		m.	jyotirmantra	m·1+2	a-stem	jyotir+mantra	compound:2_members
jyotirmeDAtiTi		m.	jyotirmeDAtiTi	m·3+2	i-stem	jyotir+meDAtiTi	compound:2_members
jyotirleKA		f.	jyotirleKA	f·2+2	ā-stem	jyotir+leKA	compound:2_members;ā_stem_f(§364)
jyotirvid	1	n.	jyotirvid	n·8√+2	consonant-stem	jyotir+vid	compound:2_members
jyotirvivaraRa		n.	jyotirvivaraRa	n·1+2	a-stem	jyotir+vivaraRa	compound:2_members
jyotiHSAstra		n.	jyotiHSAstra	n·1+2	a-stem	jyotiH+SAstra	compound:2_members
jyotiza		m.	jyotiza	m·1	a-stem		
jyotizkaraRqaka		n.	jyotizkaraRqaka	n·1+2	a-stem	jyotiz+karaRqaka	compound:2_members
jyotizkOmudI		f.	jyotizkOmudI	f·4+2	ī-stem	jyotiz+kOmudI	compound:2_members
jyotizparASara		m.	jyotizparASara	m·1	a-stem		
jyotizpitAmaha		m.	jyotizpitAmaha	m·1	a-stem		
jyotizprakASa		m.	jyotizprakASa	m·1	a-stem		
jyotiHsAgara		m.	jyotiHsAgara	m·1+2	a-stem	jyotiH+sAgara	compound:2_members
jyotsnA		adj.	jyotsnA	mfn·2	ā-stem		tri_gender_adj
jyotsnApakzatantra		n.	jyotsnApakzatantra	n·1+2	a-stem	jyotsnA+pakzatantra	compound:2_members
jyOtiza		m.	jyOtiza	m·1	a-stem		
jvarAri		m.	jvarAri	m·3	i-stem		
jvarASani		m.	jvarASani	m·3	i-stem		
jvalant		m.	jvalant	m·8t*	consonant-stem		
jvAlAjihva		adj.	jvAlAjihva	mfn·1+2	a-stem	jvAlA+jihva	compound:2_members;tri_gender_adj
jvAlAmAlin		adj.	jvAlAmAlin	mfn·8i+2	consonant-stem	jvAlA+mAlin	compound:2_members;tri_gender_adj
JaMkArin		adj.	JaMkArin	mfn·8i	consonant-stem		tri_gender_adj
JiYJikA		f.	JiYJikA	f·2	ā-stem		ā_stem_f(§364)
wakka		m.	wakka	m·1	a-stem		
wawarIsUrya		m.	wawarIsUrya	m·1	a-stem		
wikkikA		f.	wikkikA	f·2	ā-stem		ā_stem_f(§364)
wiRWA		m.	wiRWA	m·2	ā-stem		
willA		f.	willA	f·2	ā-stem		ā_stem_f(§364)
wIwiBa		m.	wIwiBa	m·1	a-stem		
wupwIkA		f.	wupwIkA	f·2	ā-stem		ā_stem_f(§364)
WoRWapadDati		f.	WoRWapadDati(?)	f·3	i-stem		
qambara		m.	qambara	m·1	a-stem		
qamBa		m.	qamBa	m·1	a-stem		
qAginI		f.	qAginI	f·4	ī-stem		
qAgineya		m.	qAgineya	m·1	a-stem		
qAmaratantra		n.	qAmaratantra	n·1+2	a-stem	qAmara+tantra	compound:2_members
qAmaraBEravatantra		n.	qAmaraBEravatantra	n·1+2	a-stem	qAmara+BEravatantra	compound:2_members
qAmarava		adj.	qAmarava	mfn·1	a-stem		tri_gender_adj
qiRqima		n.	qiRqima	n·1	a-stem		
qiRqIra		f.	qiRqIra	f·1	a-stem		
qillI		f.	qillI	f·4	ī-stem		
quRquBa		f.	quRquBa	f·1	a-stem		
qumba		m.	qumba	m·1	a-stem		
qUlUvESvAnara		n.	qUlUvESvAnara	n·1	a-stem		
qomba		f.	qomba	f·1	a-stem		
qora		m.	qora	m·1	a-stem		
QevvukA		f.	QevvukA	f·2	ā-stem		ā_stem_f(§364)
takAra		m.	takAra	m·1+2	a-stem	ta+kAra	compound:2_members
takrAhvA		f.	takrAhvA	f·2	ā-stem		ā_stem_f(§364)
takzakarman		n.	takzakarman	n·8n*+2	consonant-stem	takza+karman	compound:2_members
taRqi		m.	taRqi	m·3	i-stem		
taRquladeva		m.	taRquladeva	m·1+2	a-stem	taRqula+deva	compound:2_members
tatavant		adj.	tatavant	mfn·8t*	consonant-stem		tri_gender_adj
tatkAlIna		adj.	tatkAlIna	mfn·1+2	a-stem	tat+kAlIna	compound:2_members;tri_gender_adj
tattvacandra		m.	tattvacandra	m·1+3	a-stem	tat+tva+candra	compound:3_members
tattvacandrikA		f.	tattvacandrikA	f·2	ā-stem		ā_stem_f(§364)
tattvajYAna		n.	tattvajYAna	n·1+3	a-stem	tat+tva+jYAna	compound:3_members
tattvadarSin		adj.	tattvadarSin	mfn·8i+3	consonant-stem	tat+tva+darSin	compound:3_members;tri_gender_adj
tattvadIpa		m.	tattvadIpa	m·1	a-stem		
tattvaniScaya		m.	tattvaniScaya	m·1+3	a-stem	tat+tva+niScaya	compound:3_members
tattvapariSudDi		f.	tattvapariSudDi	f·3	i-stem		
tattvapradIpikA		f.	tattvapradIpikA	f·2	ā-stem		ā_stem_f(§364)
tattvaboDa		m.	tattvaboDa	m·1+3	a-stem	tat+tva+boDa	compound:3_members
tattvaBUta		adj.	tattvaBUta	mfn·1+3	a-stem	tat+tva+BUta	compound:3_members;tri_gender_adj
tattvamuktAvalI		f.	tattvamuktAvalI	f·4+3	ī-stem	tat+tva+muktAvalI	compound:3_members
tattvavAdarahasya		n.	tattvavAdarahasya	n·1+3	a-stem	tat+tva+vAdarahasya	compound:3_members
tattvavindu		m.	tattvavindu	m·5	u-stem		
tattvaSambara		n.	tattvaSambara	n·1+3	a-stem	tat+tva+Sambara	compound:3_members
tattvaSAradI		f.	tattvaSAradI	f·4	ī-stem		
tattvaSikzopanyAsa		m.	tattvaSikzopanyAsa	m·1	a-stem		
tattvasaMgraha		m.	tattvasaMgraha	m·1+3	a-stem	tat+tva+saMgraha	compound:3_members
tattvasamIkzA		f.	tattvasamIkzA	f·2	ā-stem		ā_stem_f(§364)
tattvasAgara		m.	tattvasAgara	m·1+3	a-stem	tat+tva+sAgara	compound:3_members
tattvAmftaprakASinI		f.	tattvAmftaprakASinI	f·4	ī-stem		
tattvArRava		m.	tattvArRava	m·1	a-stem		
tattvArTa		m.	tattvArTa	m·1+2	a-stem	tat+tvArTa	compound:2_members
tattvAloka		m.	tattvAloka	m·1	a-stem		
tattvAvaboDa		m.	tattvAvaboDa	m·1+2	a-stem	tat+tvAvaboDa	compound:2_members
tatraskanDa		m.	tatraskanDa	m·1+2	a-stem	tatra+skanDa	compound:2_members
tatsama		adj.	tatsama	mfn·1+2	a-stem	tat+sama	compound:2_members;tri_gender_adj
taTopama		adj.	taTopama	mfn·1	a-stem		tri_gender_adj
tadavasTa		adj.	tadavasTa	mfn·1+2	a-stem	tad+avasTa	compound:2_members;tri_gender_adj
tadAtmaka		adj.	tadAtmaka	mfn·1+2	a-stem	tad+Atmaka	compound:2_members;tri_gender_adj
tadAtman		adj.	tadAtman	mfn·8n*	consonant-stem		tri_gender_adj
tadAnIntana		adj.	tadAnIntana	mfn·1	a-stem		tri_gender_adj
tanudagDa		adj.	tanudagDa	mfn·1+2	a-stem	tanu+dagDa	compound:2_members;tri_gender_adj
tanupAdakzapAwana		n.	tanupAdakzapAwana	n·1+2	a-stem	tanu+pAdakzapAwana	compound:2_members
tanumaDya		n.	tanumaDya	n·1+2	a-stem	tanu+maDya	compound:2_members
tanumant		adj.	tanumant	mfn·8t*	consonant-stem		tri_gender_adj
tanUBava		m.	tanUBava	m·1+2	a-stem	tanU+Bava	compound:2_members
tanticara		adj.	tanticara/	mfn·1b+2	a-stem	tanti+cara	compound:2_members;tri_gender_adj
tantutva		n.	tantutva	n·1+2	a-stem	tantu+tva	compound:2_members
tantrawIkA		f.	tantrawIkA	f·2+2	ā-stem	tantra+wIkA	compound:2_members;ā_stem_f(§364)
tantraprakASa		m.	tantraprakASa	m·1+2	a-stem	tantra+prakASa	compound:2_members
tantramantraprakASa		m.	tantramantraprakASa	m·1+2	a-stem	tantra+mantraprakASa	compound:2_members
tantraratna		n.	tantraratna	n·1+2	a-stem	tantra+ratna	compound:2_members
tantravArttika		n.	tantravArttika	n·1+2	a-stem	tantra+vArttika	compound:2_members
tantrasadBAva		m.	tantrasadBAva	m·1	a-stem		
tantrAloka		m.	tantrAloka	m·1	a-stem		
tantrIBARqa		n.	tantrIBARqa	n·1+2	a-stem	tantrI+BARqa	compound:2_members
tantrottara		n.	tantrottara	n·1	a-stem		
tandrAvin		adj.	tandrAvi/n	mfn·8ib	consonant-stem		tri_gender_adj
tandrika		m.	tandrika	m·1	a-stem		
tanmayIBAva		m.	tanmayIBAva	m·1+2	a-stem	tan+mayIBAva	compound:2_members
tapAgacCanAyaka		m.	tapAgacCanAyaka	m·1	a-stem		
taporTIya		adj.	tapo'rTIya	mfn·1+2	a-stem	tapo+rTIya	compound:2_members;tri_gender_adj
taptabAluka		f.	taptabAluka	f·1	a-stem		
taptamudrA		f.	taptamudrA	f·2+2	ā-stem	tapta+mudrA	compound:2_members;ā_stem_f(§364)
taptodakasvAmin		m.	taptodakasvAmin	m·8i	consonant-stem		
tamaNga		m.	tamaNga	m·1	a-stem		
tamasvant		f.	tamasvant	f·8t*	consonant-stem		
tamisra		adj.	tamisra	mfn·1	a-stem		tri_gender_adj
taraMgin		f.	taraMgin	f·8i	consonant-stem		
taralatA		n.	taralatA	n·2+2	ā-stem	tarala+tA	compound:2_members
tarasa		m.	tarasa	m·1	a-stem		
taritra		m.	taritra	m·1	a-stem		
taruvallI		f.	taruvallI	f·4+2	ī-stem	taru+vallI	compound:2_members
tarkakArikA		f.	tarkakArikA	f·2+2	ā-stem	tarka+kArikA	compound:2_members;ā_stem_f(§364)
tarkakOmudI		f.	tarkakOmudI	f·4+2	ī-stem	tarka+kOmudI	compound:2_members
tarkacandrikA		f.	tarkacandrikA	f·2+2	ā-stem	tarka+candrikA	compound:2_members;ā_stem_f(§364)
tarkadIpikA		f.	tarkadIpikA	f·2+2	ā-stem	tarka+dIpikA	compound:2_members;ā_stem_f(§364)
tarkapariBAzA		f.	tarkapariBAzA	f·2+2	ā-stem	tarka+pariBAzA	compound:2_members;ā_stem_f(§364)
tarkapratibanDakatArahasya		n.	tarkapratibanDakatArahasya	n·1	a-stem		
tarkapradIpa		m.	tarkapradIpa	m·1+2	a-stem	tarka+pradIpa	compound:2_members
tarkamaYjarI		f.	tarkamaYjarI	f·4+2	ī-stem	tarka+maYjarI	compound:2_members
tarkaratna		n.	tarkaratna	n·1+2	a-stem	tarka+ratna	compound:2_members
tarkAnuBAzA		f.	tarkAnuBAzA	f·2	ā-stem		ā_stem_f(§364)
tarkAmfta		n.	tarkAmfta	n·1	a-stem		
tarkAlaMkAra		m.	tarkAlaMkAra	m·1	a-stem		
tarpaka		adj.	tarpaka	mfn·1	a-stem		tri_gender_adj
tarpaRa		n.	tarpaRa	n·1	a-stem		
tarza	2	f.	tarza	f·1	a-stem		
talaka		m.	talaka	m·1	a-stem		
talamuKa		m.	talamuKa	m·1+2	a-stem	tala+muKa	compound:2_members
tAIkadeSa		m.	tAIkadeSa	m·1	a-stem		
tAtArya		m.	tAtArya	m·1	a-stem		
tAttvika		n.	tAttvika	n·1	a-stem		
tAtparya		f.	tAtparya	f·1	a-stem		
tAdavasTya		n.	tAdavasTya	n·1	a-stem		
tAdAtmaka		adj.	tAdAtmaka	mfn·1	a-stem		tri_gender_adj
tAdrUpya		n.	tAdrUpya	n·1	a-stem		
tAnaBawwa		m.	tAnaBawwa	m·1+2	a-stem	tAna+Bawwa	compound:2_members
tAnta		m.	tAnta	m·1	a-stem		
tAntava		adj.	tAntava	mfn·1	a-stem		tri_gender_adj
tAntAnta		m.	tAntAnta	m·1	a-stem		
tApana		f.	tApana	f·1	a-stem		
tApin		adj.	tApin	mfn·8i	consonant-stem		tri_gender_adj
tAmasa	1	adj.	tAmasa	mfn·1	a-stem		tri_gender_adj
tAmbUla		n.	tAmbUla	n·1	a-stem		
tAmratapta		m.	tAmratapta	m·1+2	a-stem	tAmra+tapta	compound:2_members
tAmrasAgara		m.	tAmrasAgara	m·1+2	a-stem	tAmra+sAgara	compound:2_members
tAmrAkza		f.	tAmrAkza	f·1	a-stem		
tAmrAyasa		n.	tAmrAyasa	n·1	a-stem		
tAra		m.	tAra	m·1	a-stem		
tArakatva		n.	tArakatva	n·1+2	a-stem	tAraka+tva	compound:2_members
tArakadvAdaSI		f.	tArakadvAdaSI	f·4+2	ī-stem	tAraka+dvAdaSI	compound:2_members
tArAguru		m.	tArAguru	m·5+2	u-stem	tArA+guru	compound:2_members
tArAtIrTa		n.	tArAtIrTa	n·1+2	a-stem	tArA+tIrTa	compound:2_members
tArADarma		m.	tArADarma	m·1+2	a-stem	tArA+Darma	compound:2_members
tArApura		n.	tArApura	n·1+2	a-stem	tArA+pura	compound:2_members
tArAvaloka		m.	tArAvaloka	m·1	a-stem		
tArkzyaratna		n.	tArkzyaratna	n·1+2	a-stem	tArkzya+ratna	compound:2_members
tAvadguRita		adj.	tAvadguRita	mfn·1+2	a-stem	tAvad+guRita	compound:2_members;tri_gender_adj
tigmagu		adj.	tigmagu	mfn·5+2	u-stem	tigma+gu	compound:2_members;tri_gender_adj
tigmamUrDan		adj.	tigma/mUrDan	mfn·8na*+2	consonant-stem	tigma+mUrDan	compound:2_members;tri_gender_adj
tiTi		n.	tiTi	n·3	i-stem		
timiGAtin		m.	timiGAtin	m·8i+2	consonant-stem	timi+GAtin	compound:2_members
timirApaha		adj.	timirApaha	mfn·1	a-stem		tri_gender_adj
timirodGAwa		m.	timirodGAwa	m·1	a-stem		
tiraskfti		f.	tiraskfti	f·3+2	i-stem	tiras+kfti	compound:2_members
tirumala		m.	tirumala	m·1	a-stem		
tiryakpAtana		n.	tiryakpAtana	n·1+2	a-stem	tiryak+pAtana	compound:2_members
tiryagbila		adj.	tirya/gbila	mfn·1a+2	a-stem	tiryag+bila	compound:2_members;tri_gender_adj
tilacaturTI		f.	tilacaturTI	f·4+2	ī-stem	tila+caturTI	compound:2_members
tIkzRakara		m.	tIkzRakara	m·1+2	a-stem	tIkzRa+kara	compound:2_members
tIkzRakarman		m.	tIkzRakarman	m·8n*+2	consonant-stem	tIkzRa+karman	compound:2_members
tIkzRadaMzwra		m.	tIkzRadaMzwra	m·1+2	a-stem	tIkzRa+daMzwra	compound:2_members
tIkzRavarman		m.	tIkzRavarman	m·8n*+2	consonant-stem	tIkzRa+varman	compound:2_members
tIkzRaSfNga		adj.	tIkzRa/SfNga	mfn·1a+2	a-stem	tIkzRa+SfNga	compound:2_members;tri_gender_adj
tIRadeSa		m.	tIRadeSa	m·1	a-stem		
tIrTaka		n.	tIrTaka	n·1	a-stem		
tIrTakara		m.	tIrTakara	m·1+2	a-stem	tIrTa+kara	compound:2_members
tIrTakASikA		f.	tIrTakASikA	f·2+2	ā-stem	tIrTa+kASikA	compound:2_members;ā_stem_f(§364)
tIrTacintAmaRi		m.	tIrTacintAmaRi	m·3+2	i-stem	tIrTa+cintAmaRi	compound:2_members
tIrTapati		m.	tIrTapati	m·3+2	i-stem	tIrTa+pati	compound:2_members
tIrTapUjA		f.	tIrTapUjA	f·2+2	ā-stem	tIrTa+pUjA	compound:2_members;ā_stem_f(§364)
tIvrasoma		adj.	tIvrasoma/	mfn·1b+2	a-stem	tIvra+soma	compound:2_members;tri_gender_adj
tuNgatva		n.	tuNgatva	n·1+2	a-stem	tuNga+tva	compound:2_members
tuqiga		m.	tuqiga	m·1	a-stem		
tuRqa		m.	tuRqa	m·1	a-stem		
tuRqi		f.	tuRqi	f·3	i-stem		
tumula		m.	tumula	m·1	a-stem		
turaka		m.	turaka	m·1	a-stem		
turakva		m.	turakva	m·1	a-stem		
turaganIlatAla		m.	turaganIlatAla	m·1+3	a-stem	tura+ga+nIlatAla	compound:3_members
turaMganATa		m.	turaMganATa	m·1+3	a-stem	tura+Mga+nATa	compound:3_members
turaSravas		m.	turaSravas	m·8s+2	consonant-stem	tura+Sravas	compound:2_members
tulApadDati		f.	tulApadDati	f·3+2	i-stem	tulA+padDati	compound:2_members
tulABavAnI		f.	tulABavAnI	f·4+2	ī-stem	tulA+BavAnI	compound:2_members
tulya		adv.	tulya	ind·0	indeclinable		
tulyakAlatva		n.	tulyakAlatva	n·1+3	a-stem	tulya+kAla+tva	compound:3_members
tulyakAlIya		adj.	tulyakAlIya	mfn·1+2	a-stem	tulya+kAlIya	compound:2_members;tri_gender_adj
tulyakulya		adj.	tulyakulya	mfn·1+2	a-stem	tulya+kulya	compound:2_members;tri_gender_adj
tulyatarka		m.	tulyatarka	m·1+2	a-stem	tulya+tarka	compound:2_members
tulyayogopamA		f.	tulyayogopamA	f·2+2	ā-stem	tulya+yogopamA	compound:2_members;ā_stem_f(§364)
tuzAradyuti		m.	tuzAradyuti	m·3+2	i-stem	tuzAra+dyuti	compound:2_members
tuzArartu		m.	tuzArartu	m·5+2	u-stem	tuzAra+rtu	compound:2_members
tuzAraSiKarin		m.	tuzAraSiKarin	m·8i+2	consonant-stem	tuzAra+SiKarin	compound:2_members
tuzArAMSu		m.	tuzArAMSu	m·5	u-stem		
tuhinakzmABft		m.	tuhinakzmABft	m·8√+2	consonant-stem	tuhina+kzmABft	compound:2_members
tuhinagiri		m.	tuhinagiri	m·3+2	i-stem	tuhina+giri	compound:2_members
tUrRaga		adj.	tUrRaga	mfn·1+2	a-stem	tUrRa+ga	compound:2_members;tri_gender_adj
tUla		adj.	tUla	mfn·1	a-stem		tri_gender_adj
tUlapawI		f.	tUlapawI	f·4+2	ī-stem	tUla+pawI	compound:2_members
tUlika		m.	tUlika	m·1	a-stem		
tUzRIMsTAna		n.	tUzRIMsTAna	n·1+2	a-stem	tUzRIM+sTAna	compound:2_members
tUzRIka		adj.	tUzRIka	mfn·1	a-stem		tri_gender_adj
tfRaBuj		adj.	tfRaBuj	mfn·8√+2	consonant-stem	tfRa+Buj	compound:2_members;tri_gender_adj
tfRasAra		adj.	tfRasAra	mfn·1+2	a-stem	tfRa+sAra	compound:2_members;tri_gender_adj
tfRASana		adj.	tfRASana	mfn·1	a-stem		tri_gender_adj
tfRman		n.	tf/Rman	n·8na*	consonant-stem		
tfpta		n.	tfpta	n·1	a-stem		
tfptatA		f.	tfptatA	f·2+2	ā-stem	tfpta+tA	compound:2_members;ā_stem_f(§364)
tfz		adj.	tfz	mfn·8√	consonant-stem		tri_gender_adj
teja		f.	teja	f·1	a-stem		
tejasiMha		m.	tejasiMha	m·1+2	a-stem	teja+siMha	compound:2_members
tejaspada		n.	tejaspada	n·1+2	a-stem	tejas+pada	compound:2_members
tejIyaMs		adj.	tejIyaMs	mfn·8√	consonant-stem		tri_gender_adj
tejojala		n.	tejojala	n·1+2	a-stem	tejo+jala	compound:2_members
tElaNga		m.	tElaNga	m·1	a-stem		
tokatA		f.	tokatA	f·2+2	ā-stem	toka+tA	compound:2_members;ā_stem_f(§364)
towaka		adj.	towaka	mfn·1	a-stem		tri_gender_adj
toyaDAra		f.	toyaDAra	f·1+2	a-stem	toya+DAra	compound:2_members
toyAgni		m.	toyAgni	m·3	i-stem		
tolakeSi		m.	tolakeSi	m·3	i-stem		
tolikA		f.	tolikA	f·2	ā-stem		ā_stem_f(§364)
toSala		m.	toSala	m·1	a-stem		
tOlakecin		m.	tOlakecin	m·8i	consonant-stem		
tyaj	1	adv.	tyaj	ind·0	indeclinable		
tyAjana		n.	tyAjana	n·1	a-stem		
trayodaSavarjyasaptamI		f.	trayodaSavarjyasaptamI	f·4+3	ī-stem	trayo+daSa+varjyasaptamI	compound:3_members
travAqilaGu		m.	travAqilaGu	m·5	u-stem		
trAwaka		n.	trAwaka	n·1	a-stem		
trARana		n.	trARana	n·1	a-stem		
triMSacClokI		f.	triMSacClokI	f·4	ī-stem		
triMSataDyAna		n.	triMSataDyAna	n·1	a-stem		
triMSikA		f.	triMSikA	f·2	ā-stem		ā_stem_f(§364)
trikapardin		adj.	trikapardin	mfn·8i+2	consonant-stem	tri+kapardin	compound:2_members;tri_gender_adj
trikoRa		n.	trikoRa	n·1+2	a-stem	tri+koRa	compound:2_members
trikoRaka		n.	trikoRaka	n·1+2	a-stem	tri+koRaka	compound:2_members
triKarva		n.	triKarva	n·1+2	a-stem	tri+Karva	compound:2_members
trigata		n.	trigata	n·1+2	a-stem	tri+gata	compound:2_members
trigUQa		n.	trigUQa	n·1+2	a-stem	tri+gUQa	compound:2_members
trita		m.	trita	m·1	a-stem		
tritakUpa		m.	tritakUpa	m·1+2	a-stem	trita+kUpa	compound:2_members
tridaSaSEla		m.	tridaSaSEla	m·1+3	a-stem	tri+daSa+SEla	compound:3_members
tridaSeSvarI		f.	tridaSeSvarI	f·4+2	ī-stem	tri+daSeSvarI	compound:2_members
triDarman		adj.	triDarman	mfn·8n*+2	consonant-stem	tri+Darman	compound:2_members;tri_gender_adj
triDAtuka		adj.	triDAtuka	mfn·1+2	a-stem	tri+DAtuka	compound:2_members;tri_gender_adj
trinayana		n.	trinayana	n·1+2	a-stem	tri+nayana	compound:2_members
trinavaha		n.	trinavaha	n·1+2	a-stem	tri+navaha	compound:2_members
trinetra		f.	trinetra	f·1+2	a-stem	tri+netra	compound:2_members
tripattra		n.	tripattra	n·1+2	a-stem	tri+pattra	compound:2_members
tripada		n.	tripada	n·1+2	a-stem	tri+pada	compound:2_members
tripAWin		adj.	tripAWin	mfn·8i+2	consonant-stem	tri+pAWin	compound:2_members;tri_gender_adj
tripuRqrin		adj.	tripuRqrin	mfn·8i+2	consonant-stem	tri+puRqrin	compound:2_members;tri_gender_adj
tripurakumAra		m.	tripurakumAra	m·1+3	a-stem	tri+pura+kumAra	compound:3_members
tripuramAlI		f.	tripuramAlI	f·4+3	ī-stem	tri+pura+mAlI	compound:3_members
