k1	hom	homonym_precise	deriv_base	deriv_suffix	deriv_class	deriv_citation	panini_sutras	compound_members_pwg	compound_status	ganas	gana_sutras	gana_corroborated
BrAtfsiMha		1						BrAtar + siMha	differs			
BrAtra							P.5.1.130					
BrAtrIya							P.4.1.144					
BrAtrIya							P.4.1.144					
BrAnti							P.2.3.51|P.4.19.25|P.85.32					
BrAma							P.3.1.140					
BrAmaka		1	Brama	ka	уменьш./собират.	R.						
BrAmaRa							P.10.18.12|P.51.5|P.84.24					
BrAmara							P.4.3.119|P.91.47					
BrAmarin		1	BrAmara	in	поссессив	M. 3,161						
BrAzwra	1						P.4.2.16|P.6.2.82					
BrAzwra	2						P.4.2.16|P.6.2.82					
BrAzwraja		1					P.6.2.82	BrAzwra + ja	agrees			
BrAzwraminDa		1					P.6.3.70	BrAzwra + inDa	differs			
BrAzwravratin		1						BrAzwra + vrata	differs			
BrAzwreya		1	BrAzwra	eya	относит./vṛddhi	SAṂSK. K. 184,a,7						
BrukuMSa							P.6.3.61		index-only			
Brukuwi							P.6.3.71|P.9.4.43		index-only			
BrukuwImuKa	1						P.7.2.3		index-only			
BrukuwImuKa	2						P.7.2.3		index-only			
BrU							P.3.2.18|P.3.28.32|P.6.4.77					
BrUkuMSa							P.6.3.61		index-only			
BrUkuwi							P.6.3.61					
BrUkzepa		1						BrU + kzepa	agrees			
BrUjAha		1					P.5.2.24	BrU + jAha	agrees			
BrURa							P.9.9.31					
BrURaGna		1						BrURa + Gna	agrees			
BrURahatyA							P.3.1.108		index-only			
BrURahan		1					P.3.2.87	BrURa + han	agrees			
BrUBaNga		1					P.9.4.53	BrU + BaNga	agrees	karRAdiH	5.2.24	
BrUBeda		1						BrU + Beda	agrees			
BrUBedin		1	BrUBeda	in	поссессив	KUMĀRAS. 6,45			index-only			
BrORaGna							P.6.4.135					
BrORahatya							P.6.4.174					
BrOveya							P.4.1.125					
ma	2						P.4.20.16|P.5.5.8|P.8.1.22					
maMhanezWA		1						maMhane + sTA	pwg-new-fill			
mak							P.1.1.37			svarAdiH	1.1.37	1
maka							P.2.4.31			arDarcAdiH|pakzAdiH	2.4.31|4.2.80	1
makadatta		1						maka + datta	agrees			
makara							P.3.10.22|P.4.9.54|P.5.2.13|P.5.16.28|P.5.21.3|P.68.5					
makarakuRqala							P.3.28.29		index-only			
makaraDvaja							P.3.28.32		index-only			
makaranda							P.3.15.43					
makarAkza		1						makara + akza	pwg-new-fill			
makarANka		1						makara + aNka	pwg-new-fill			
makarAyaRa							P.4.2.80					
makarASva		1						makara + aSva	pwg-new-fill			
makarin		1	makara	in	поссессив	ŚKDR.						
makarIprasTa							P.6.2.87		index-only			
makazwu							P.4.1.123					
makAra		1						ma + kAra	agrees			
makzavIrya		1						makza + vIrya	pwg-new-fill			
makzika		1	makza	ika	относит./vṛddhi	UṆĀDIS. 4,153	P.5.14.41|P.15.19					
makzu							P.6.3.133					
maKa							P.9.13.2			karRAdiH	5.2.24	
maKatrAtar		1						maKa + trAtar	pwg-new-fill			
maKadviz		1						maKa + dviz	agrees			
maKamaya		1	maKa	maya	материал	BHĀG. P. 2,7,11	P.2.7.11		index-only			
maKahan		1						maKa + han	agrees			
maKAnna		1						maKa + anna	pwg-new-fill			
magaDa							P.4.1.170|P.57.44			gahAdiH|kaRqvAdiH	3.1.27|4.2.138	
magaDIya		1	magaDa	Iya	относит./vṛddhi	P. 4,2,138	P.4.2.138					
maGa							P.5.23.6|P.32.35					
maGatti		1						maGa + tti	agrees			
maGadeya		1						maGa + deya	agrees			
maGarava		1						maGa + rava	agrees			
maGavan							P.5.15.10|P.6.4.128|P.6.4.133|P.79.6		index-only			
maGnIprasTa							P.6.2.87					
maNkzu							P.1.1.37|P.4.1.105			gargAdiH	4.1.105	1
maNgala							P.1.2.5|P.1.14.35|P.2.4.31|P.2.8.2|P.3.21.25|P.4.1.41|P.4.22.7|P.4.24.31|P.5.4.7|P.6.18.77|P.9.5.14|P.21.62			arDarcAdiH|gOrAdiH	2.4.31|4.1.41	1
maNgalacCAya		1						maNgala + CAyA	differs			
maNgalaprasTa							P.5.19.16		index-only			
maNgalAyana	1						P.4.22.7|P.11.30.9					
maNgalAyana	2						P.4.22.7|P.11.30.9					
maNgalika		1	maNgala	ika	относит./vṛddhi	AV.						
maNgalya		1	maNgala	ya	относит./vṛddhi	MED. y. 99. fg.	P.51.12					
maNgalyaka		1	maNgalya	ka	уменьш./собират.	AK. 2,9,17						
maNguza							P.4.1.151			kurvAdiH	4.1.151	1
macarcikA							P.2.1.66					
majiraka							P.4.1.112					
majjakft		1						majjan + kft	differs			
majjana	1						P.6.4.32|P.8.2.8					
majjana	2						P.6.4.32|P.8.2.8					
maYcaka							P.2.4.31			arDarcAdiH	2.4.31	1
maYjarita							P.5.2.36					
maYji							P.8.3.97					
maYjizWa							P.8.3.97					
maYjizWA							P.8.3.97					
maYjIra							P.2.13					
maYjIraka		1	maYjIra	ka	уменьш./собират.	P. 4,1,112	P.4.1.112					
maYju							P.3.23.15|P.5.2.97			siDmAdiH	5.2.97	1
maYjukula		1						maYju + kula	agrees			
maYjukeSin		1						maYju + keSa	differs			
maYjuGoza		1					P.10.15.3	maYju + Goza	agrees			
maYjudeva		1						maYju + deva	agrees			
maYjunATa		1						maYju + nATa	agrees			
maYjunASI		1						maYju + nASa	differs			
maYjuprARa		1						maYju + prARa	agrees			
maYjuBadra		1						maYju + Badra	agrees			
maYjula							P.5.2.97					
maYjuSrI		1						maYju + SrI	agrees			
maYjusvara		1						maYju + svara	agrees			
maYjUzA							P.9.23.12					
maWa							P.2.4.31|P.4.1.41			arDarcAdiH|gOrAdiH	2.4.31|4.1.41	1
maWara							P.2.2.38|P.4.1|P.4.1.104			bidAdiH|kaqArAdiH	2.2.38|4.1.104	1
maqarakanTa							P.6.2.125					
maqqu							P.4.4.56					
maRi							P.1.1|P.1.1.11|P.3.21.52			SarAdiH|sTUlAdiH|siDmAdiH|yAvAdiH	5.2.97|5.4.29|5.4.3|6.3.120	
maRika		1	maRi	ika	относит./vṛddhi	P. 5,4,3	P.5.4|P.5.4.3			caturvedAdiH	5.1.124	
maRikarRa							P.6.2.113|P.6.3.115		index-only			
maRikUwa							P.5.20.4		index-only			
maRicCidrA		1						maRi + Cidra	differs			
maRipAlI							P.4.1.146		index-only	mahizyAdiH|revatyAdiH	4.1.146|4.4.48	1
maRipucCI							P.4.1.55					
maRipuzpaka		1						maRi + puzpa	differs			
maRipUra							P.9.22.31		index-only			
maRipradIpa							P.4.9.62		index-only			
maRiBUmi							P.59.20		index-only			
maRimant							P.3.15.41|P.4.4.4					
maRimaya		1	maRi	maya	материал	MBH. 6,237	P.1.15.14|P.59.20		index-only			
maRimeGa							P.58.34		index-only			
maRila							P.5.2.97					
maRiva							P.5.2.109					
maRiSEla							P.55.4		index-only			
maRistamBa							P.3.23.13		index-only			
maRIvatI							P.6.3.120					
maRqa							P.2.4.31|P.5.1|P.5.1.34					
maRqaka		1	maRqa	ka	уменьш./собират.	ed. Bomb.						
maRqana							P.3.2.34|P.3.2.151|P.6.18.52					
maRqapa		1					P.2.4.31	maRqa + pa	agrees	arDarcAdiH	2.4.31	1
maRqamaya		1	maRqa	maya	материал	MBH. 12,11791			index-only			
maRqara							P.5.3.108			aNgulyAdiH	5.3.108	1
maRqala							P.2.4.31|P.3.2.34|P.3.4.21|P.3.28.32|P.4.1.41|P.5.2.97|P.5.23.2|P.7.11.26|P.124.9			aNgulyAdiH|arDarcAdiH|gOrAdiH	2.4.31|4.1.41|5.3.108	1
maRqalaka		1	maRqala	ka	уменьш./собират.	MED. k. 207						
maRqalavartin							P.6.3.6		index-only			
maRqalaSas		1	maRqala	Sas	адверб	MBH. 1,200			index-only			
maRqalAgra		1						maRqala + agra	pwg-new-fill			
maRqaleSa		1						maRqala + ISa	pwg-new-fill			
maRqu							P.4.1.105			gargAdiH	4.1.105	1
maRqUka							P.1.4.47|P.4.1.119|P.5.1.117					
maRqUkasarasa							P.5.4.94		index-only			
mata										kftAdiH	2.1.59	
matallikA							P.2.1.66					
matAkza		1						mata + akza	pwg-new-fill			
mati							P.3.1.13|P.3.2.188|P.3.3|P.3.3.94|P.5.14.7|P.16.62|P.134.58|P.134.59			kurvAdiH	4.1.151	
matimant							P.26.13					
matka	1	1	mat	ka	уменьш./собират.	BHAṬṬ. 8,16						
matka	2		mat	ka	уменьш./собират.	BHAṬṬ. 8,16						
matkuRa							P.3.31.27					
matkfta		1						mat + kfta	agrees			
mattaka		1	matta	ka	уменьш./собират.	HARIV. 15652						
mattakAla		1						matta + kAla	agrees			
mattanAga		1						matta + nAga	agrees			
mattas		1	mat	tas	адверб	AV. 6,20,1						
matya		1	mati	ya	относит./vṛddhi	AIT. BR. 3,38	P.4.4.97					
matsara							P.1.18.29|P.49.14					
matsarin							P.10.66.23					
matsya							P.1.10.10|P.1.10.34|P.4.1.28|P.4.2.81|P.5.3.100|P.6.4.149|P.58.7			BavadAdiH|gOrAdiH	4.1.41|5.3.14	
matsyaka		1	matsya	ka	уменьш./собират.	MBH. 3,12781						
matsyAkzaka		1						matsya + akza	pwg-new-fill			
matsyAd		1						matsya + ad	pwg-new-fill			
matsyAda		1						matsya + Ada	pwg-new-fill			
matsyAdanI		1						matsya + adana	pwg-new-fill			
matsyodarin		1						matsya + udara	pwg-new-fill			
maT	2						P.1.2.33|P.1.4.51|P.1.10.29|P.1.11.37|P.1.15.23|P.1.15.29|P.2.7.13|P.3.3.6|P.4.6.30|P.4.13.19|P.4.14.43|P.5.18.36|P.5.20.19|P.6.11.18|P.7.1.85|P.8.5.10|P.8.6.23|P.8.7.16|P.8.9.3|P.10.9|P.10.9.1|P.10.9.4|P.11.12.18					
maTa							P.3.1.140					
maTaka							P.2.4.63					
maTana							P.8.7|P.9.13.3|P.91.19					
maTanAcala							P.1.3.16					
maTi	1						P.3.2.27					
maTi	2						P.3.2.27					
maTurA							P.4.2.82|P.9.11.14|P.10.79.15			varaRAdiH	4.2.82	1
maTureSa		1						maTurA + ISa	pwg-new-fill			
maTya							P.8.12.47					
mada							P.1.17.39|P.3.1.134|P.3.3.67|P.3.28.37|P.4.4.4|P.4.27.4|P.4.31.21|P.6.7.9|P.8.2.22|P.115.5			aSmAdiH|pacAdiH	3.1.134|4.2.80	1
madakara		1						mada + kara	agrees			
madakarin							P.10.42.17		index-only			
madakala		1						mada + kala	agrees			
madakft		1						mada + kft	agrees			
madaGnI		1						mada + GnI	agrees			
madacyut		1					P.8.2.22|P.10.53.15	mada + cyut	agrees			
madacyuta		1						mada + cyuta	agrees			
madajala		1						mada + jala	agrees			
madadvipa		1						mada + dvipa	agrees			
madaDAra		1						mada + DAra	agrees			
madana							P.1.11.37|P.3.1.134|P.21.20					
madanAgraka		1						madana + agra	pwg-new-fill			
madanAyuza		1						madana + Ayus	pwg-new-fill			
madanAvasTa		1						madana + avasTA	pwg-new-fill			
madanIya		1	mada	anIya	герундивообразный	ṚT. 5,10						
madamuc		1						mada + muc	agrees			
madayantI							P.9.9|P.9.9.18					
madarAga		1						mada + rAga	agrees			
madavfdDa		1						mada + vfdDa	agrees			
madavfnda		1						mada + vfnda	pwg-new-fill			
madaSAka		1						mada + SAka	agrees			
madasAra		1						mada + sAra	agrees			
madasTAna		1						mada + sTAna	agrees			
madahetu		1						mada + hetu	agrees			
madAGa		1					P.2.4.69	mada + aGa	pwg-new-fill			
madAnDa							P.5.24.16					
madAlasa							P.21.28					
madAhva		1						mada + AhvA	pwg-new-fill			
madira							P.3.28.37|P.4.28.34|P.9.24|P.9.24.44|P.21.23					
madirAkza		1						madira + akza	pwg-new-fill			
madirASva		1						madira + aSva	pwg-new-fill			
madirAsaKa		1						madirA + saKi	differs			
madIya							P.23.83					
madgu							P.7.3.53|P.15.16			kzipakAdiH	7.3.45	
madya							P.3.1.100|P.18.28					
madyadruma		1						madya + druma	agrees			
madyapa		1						madya + pa	agrees			
madyapaNka		1						madya + paNka	agrees			
madyapAna		1					P.17.22	madya + pAna	agrees			
madyapIta							P.2.2.37		index-only			
madyapuzpA		1						madya + puzpa	differs			
madyabIja		1						madya + bIja	agrees			
madra							P.2.3.73|P.4.1.177|P.4.2|P.4.2.108|P.6.2|P.6.2.13|P.9.23.3|P.57.44|P.132.46			lohitAdiH	3.1.13	
madraka		1	madra	ka	уменьш./собират.	P. 4,2,131	P.4.2.131|P.4.3.100|P.12.1.34|P.57.36					
madrakAra		1					P.3.2.44	madra + kAra	agrees			
madraMkara							P.3.2.44		index-only			
madranagara							P.7.3.24		index-only			
madranABa		1						madra + nABa	agrees			
madrapa		1						madra + pa	agrees			
madrArma		1					P.6.2.91	madra + arma	pwg-new-fill			
madrukasTalI							P.4.2.127					
madrumarakanTa							P.6.2.125					
madryaYc		1						mat + aYc	pwg-new-fill			
madvargIRa		1						mat + varga	differs			
madviDa		1					P.9.19.2|P.66.19	mat + viDA	differs			
maDavya							P.4.4|P.4.4.129					
maDu							P.1.11|P.1.11.12|P.2.4.14|P.2.4.31|P.4.1.71|P.4.1.106|P.4.3.20|P.4.4.128|P.4.4.129|P.7.1.77|P.9.11.14|P.9.24.5|P.55.9|P.76.54|P.81.50			arDarcAdiH|kumudAdiH|maDvAdiH|uraHpraBftayaH|yavAdiH	2.4.31|4.2.80|4.2.86|5.4.151|8.2.9	1
maDuka		1	maDu	ka	уменьш./собират.	P. 5,4,151	P.4.2.80|P.4.6.18|P.5.4.151					
maDukara		1					P.4.18.2|P.5.2.6	maDu + kara	agrees			
maDukAra		1						maDu + kAra	agrees			
maDukumBA		1						maDu + kumBa	differs			
maDukulyA							P.5.20.16		index-only			
maDukft		1						maDu + kft	agrees			
maDukoSa		1						maDu + koSa	agrees			
maDukrama		1						maDu + krama	agrees			
maDukzIra		1						maDu + kzIra	agrees			
maDuganDika		1						maDu + ganDa	differs			
maDugraha		1						maDu + graha	agrees			
maDuGoza		1						maDu + Goza	agrees			
maDucCadA		1						maGu + Cada	pwg-new-fill			
maDucCandas							P.9.16|P.9.16.29		index-only			
maDucyut		1					P.1.19.22|P.4.19.8	maDu + cyut	agrees			
maDucyuta							P.4.12.28		index-only			
maDuja		1						maDu + ja	agrees			
maDujAta		1						maDu + jAta	agrees			
maDujit		1						maDu + jit	agrees			
maDujihva		1						maDu + jihvA	differs			
maDutfRa		1						maDu + tfRa	agrees			
maDutraya		1						maDu + traya	agrees			
maDutva		1	maDu	tva	абстракт	MAITRYUP. 6,22			index-only			
maDuduGa		1						maDu + duGa	agrees			
maDudoGa		1						maDu + doGa	agrees			
maDudoha		1						maDu + doha	pwg-new-fill			
maDudra		1						maDu + dra	agrees			
maDudrava		1						maDu + drava	agrees			
maDudruma		1						maDu + druma	agrees			
maDudviz		1					P.3.7.19	maDu + dviz	agrees			
maDuDA		1						maDu + DA	agrees			
maDuDAtu		1						maMDu + DAtu	differs			
maDuDAra		1						maDu + DArA	pwg-new-fill			
maDuDArA							P.5.16.23		index-only			
maDuDenu		1						maDu + Denu	agrees			
maDupa		1					P.10.47.12	maDu + pa	agrees			
maDupati							P.1.8.42		index-only			
maDuparka		1						maDu + parka	agrees	daRqAdiH	5.1.66	
maDuparkika		1	maDuparka	ika	относит./vṛddhi	MBH. 7,2912			index-only			
maDuparkya							P.5.1.66		index-only			
maDuparRikA		1						maDu + parRa	differs			
maDupA		1						maDu + pA	agrees			
maDupAla		1						maDu + pAla	agrees			
maDupIlu		1						maDu + pIlu	agrees			
maDupura		1					P.7.14.31	maDu + pura	agrees			
maDupU		1						maDu + pU	agrees			
maDupfc		1						maDu + pfc	agrees			
maDupfzWa		1						maDu + pfzWa	agrees			
maDupeya		1						maDu + peya	agrees			
maDupriya		1						maDu + priya	agrees			
maDuPala		1						maDu + Pala	agrees			
maDubIja		1						maDu + bIja	agrees			
maDuBadra		1						maDu + Badra	agrees			
maDuBAga		1						maDu + BAga	agrees			
maDuBAva		1						maDu + BAva	agrees			
maDuBid		1					P.4.29.40	maDu + Bid	agrees			
maDuBuj		1					P.4.27.18	maDu + Buj	agrees			
maDumatta		1						maDu + matta	agrees			
maDumaT		1						maDu + maT	agrees			
maDumaTana							P.6.9.38		index-only			
maDumada		1						maDu + mada	agrees			
maDumant							P.4.2.86|P.4.2.133|P.8.2.9					
maDumaya		1	maDu	maya	материал	Spr. 1218			index-only			
maDumADava							P.8.8.11		index-only			
maDumADavI							P.3.15.17		index-only			
maDumiSra		1						maDu + miSra	agrees			
maDumUla		1						maDu + mUla	agrees			
maDumeha		1						maDu + meha	agrees			
maDumehin		1	maDumeha	in	поссессив	SUŚR. 1,67,15			index-only			
maDura							P.1.4.89|P.3.26.42|P.4.3.108|P.5.2.107			kASAdiH|varRadfQAdiH	4.2.80|5.1.123	
maDuraka		1	maDura	ka	уменьш./собират.	RĀJAV.						
maDuratA		1	maDura	tA	абстракт	Spr. 4056			index-only			
maDuratva		1	maDura	tva	абстракт	SUŚR. 1,187,20			index-only			
maDurasa	1	1						maDu + rasa	agrees			
maDurasa	2							maDu + rasa	agrees			
maDurAmlaka		1						maDura + amla	pwg-new-fill			
maDurAlApA		1						maDura + AlApa	pwg-new-fill			
maDuripu		1						maDu + ripu	agrees			
maDuriman							P.5.1.123					
maDuruha		1					P.5.20.21	maDu + ruha	agrees			
maDureRu		1						maDu + reRu	agrees			
maDulagna		1						maDu + lagna	agrees			
maDulih		1					P.6.3.33	maDu + lih	agrees			
maDuvana	1	1					P.1.10.26|P.4.8.42	maDu + vana	agrees			
maDuvana	2						P.1.10.26|P.4.8.42	maDu + vana	agrees			
maDuvarRa		1						maDu + varRa	agrees			
maDuvAra		1						maDu + vAra	agrees			
maDuvfD		1						maDu + vfD	agrees			
maDuvfza		1						maDu + vfza	agrees			
maDuvrata		1					P.3.28.28	maDu + vrata	agrees			
maDuSAKa		1						maDu + SAKA	differs			
maDuSigru		1						maDu + Sigru	agrees			
maDuSizwa		1						maDu + Sizwa	agrees			
maDuSeza		1						maDu + Seza	agrees			
maDuScut		1						maDu + Scut	agrees			
maDuSrI		1						maDu + SrI	agrees			
maDuSvAsA		1						maDu + SvAsa	differs			
maDuput		1						maDu + sut	pwg-new-fill			
maDuzWAna		1					P.8.3.106	maDu + sTAna	differs			
maDuzWIla		1						maDu + azWIlA	differs			
maDusaKa		1						maDu + saKi	differs			
maDusUdana							P.3.1.134		index-only			
maDusena		1						maDu + senA	differs			
maDuskanda		1						maDu + skanda	agrees			
maDusTAna		1					P.8.3.106	maDu + sTAna	agrees			
maDusyanda		1						maDu + syanda	agrees			
maDusrava		1					P.10.27.26	maDu + srava	agrees			
maDusvara		1						maDu + svara	agrees			
maDuhan		1					P.6.8.19|P.11.8.15	maDu + han	agrees			
maDuhastya		1						maDu + hasta	differs			
maDuka		1	maDu	ka	уменьш./собират.	P. 5,4,151	P.4.2.80|P.4.6.18|P.5.4.151					
maDUtTa		1						maDu + utTa	pwg-new-fill			
maDUlaka		1	maDUla	ka	уменьш./собират.	H. 1388						
maDya							P.1.1|P.1.1.47|P.1.4.76|P.2.1.18|P.2.1.58|P.2.4.31|P.4.3.9|P.5.12.5|P.21.100|P.22.5|P.23.92			AdyAdiH|arDarcAdiH|gahAdiH	2.4.31|4.2.138|5.4.44	1
maDyakuru		1						maDya + kuru	agrees			
maDyaga		1					P.23.8	maDya + ga	agrees			
maDyatas		1	maDya	tas	адверб	ṚV. 3,21,5	P.5.4.44|P.7.9.30		index-only			
maDyadeSIya		1	maDyadeSa	Iya	относит./vṛddhi	MBH. 12,6294			index-only			
maDyadeSya							P.57.33		index-only			
maDyaMdina	1						P.4.13.13|P.8.18.6		index-only	gahAdiH|utsAdiH	4.1.86|4.2.138	
maDyaMdina	2						P.4.13.13|P.8.18.6		index-only	gahAdiH|utsAdiH	4.1.86|4.2.138	
maDyaMdinIya		1	maDyaMdina	Iya	относит./vṛddhi	LĀṬY. 6,9,15			index-only			
maDyapatita							P.1.1.71		index-only			
maDyama							P.1.4|P.1.4.101|P.2.1.58|P.4.3.8|P.60.7|P.106.58					
maDyamaka		1	maDyama	ka	уменьш./собират.	MṚCCH. 49,19						
maDyamakeya		1	maDyamaka	eya	относит./vṛddhi	MBH. 2,1190						
maDyamasTa							P.5.1.124		index-only	brAhmaRAdiH	5.1.124	1
maDyamika		1	maDyama	ika	относит./vṛddhi	BURN. Intr. 445						
maDyamIya		1	maDyama	Iya	относит./vṛddhi	P. 4,3,60	P.4.3.60					
maDyayogin		1						maDya + yoga	differs			
maDyarAtra							P.5.4.87		index-only			
maDyasTa							P.3.2.179|P.6.16.5|P.10.78.17|P.14.60		index-only			
maDyasTatA		1	maDyasTa	tA	абстракт	MBH. 6,3924			index-only			
maDyAntika		1						maDya + anta	pwg-new-fill			
maDyAvarza		1						maDya + varza	pwg-new-fill			
maDyAhna							P.2.4.29					
maDyegaNgam							P.2.1.18		index-only			
maDyeguru							P.6.3.11		index-only			
maDyodAtta							P.6.1.194					
maDvakza		1						maDu + akza	differs			
maDvad		1						maDu + ad	differs			
maDvAmra		1						maDu + Amra	differs			
maDvAsavanika		1						maDu + Asavana	differs			
man							P.1.2.6|P.1.4.28|P.1.4.57|P.1.4.106|P.1.7.5|P.1.7.31|P.1.7.32|P.1.8.16|P.1.11.23|P.1.19.5|P.2.1.22|P.2.1.59|P.2.3.17|P.2.7.18|P.3.1.6|P.3.1.7|P.3.1.16|P.3.2.188|P.3.16.25|P.3.16.28|P.3.23.30|P.3.24.56|P.3.27.2|P.3.30.10|P.3.30.16|P.4.4.7|P.4.9.66|P.4.24.54|P.4.25.12|P.4.29.4|P.5.2.45|P.5.4.8|P.5.10.16|P.5.24.16|P.6.1.48|P.6.4.37|P.6.5.37|P.6.6.43|P.6.10.33|P.7.2.10|P.7.7.32|P.7.8.20|P.7.8.43|P.7.14.8|P.8.2.26|P.10.61.2|P.10.81.24|P.10.85.22|P.11.5.9|P.16.51|P.16.76|P.16.90|P.18.33|P.23.114|P.24.4|P.25.15|P.61.37|P.62.17|P.66.20|P.69.11|P.69.55|P.70.17|P.75.10|P.76.38|P.77.24|P.125.27			lohitAdiH	3.1.13	
mana							P.4.1.110			aSvAdiH	4.1.110	1
manaApa		1						manas + Apa	differs			
manaHkzepa		1						manas + kzepa	differs			
manaHpUta		1						manas + pUta	differs			
manana							P.5.8.28			aSvAdiH	4.1.110	
manaScit	1	1						manas + cit	differs			
manaScit	2							manas + cit	differs			
manaHSIGra		1						manas + SIGra	differs			
manas							P.1.4.66|P.1.4.75|P.2.1.18|P.2.1.34|P.4.24.20|P.6.1.144			AdyAdiH|gargAdiH|prajYAdiH	4.1.105|5.4.38|5.4.44	
manasa							P.5.4.77|P.5.4.107					
manasAguptA							P.6.3.4		index-only			
manasAjYAyin							P.6.3.5					
manasAdattA							P.6.3.4		index-only			
manasin		1	manas	in	поссессив	TS. 7,5,12,1						
manaska		1	manas	ka	уменьш./собират.	AV. 6,18,3	P.93.8					
manaskAnta							P.8.3.46		index-only			
manaskAra		1						manas + kar	differs			
manasmaya		1	manas	maya	материал	ṚV. 10,85,12			index-only			
manasvin							P.3.23.28|P.52.17|P.69.14		index-only			
manaHsaNga		1						manas + saNga	differs			
manaHsad		1						manas + sad	differs			
manaHsAramaya		1						manas + sAra	differs			
manaHsuKa		1						manas + suKa	differs			
manaHsTa		1						manas + sTa	differs			
manAk							P.1.1.37|P.1.10.35|P.3.19.16|P.3.23.46|P.69.32			svarAdiH	1.1.37	1
manAkkara		1						manAk + kara	agrees			
manAyI							P.4.1.38					
manAvI							P.4.1.38					
manIvaka							P.53.21					
manIzA							P.1.1.11|P.6.1.94			SakanDvAdiH	6.1.94	1
manIzikA							P.5.13.26					
manIzita							P.2.9.21					
manIzin							P.18.57					
manu							P.3.12.12|P.3.12.52|P.4.1.38|P.6.4.25|P.6.6.20|P.8.13.1			gargAdiH	4.1.105	
manuga		1					P.53.23	manu + ga	agrees			
manuja		1						manu + ja	agrees			
manujAta		1						manu + jAta	agrees			
manujendra		1						manuja + indra	differs			
manujyezWa		1						manu + jyezWa	agrees			
manutva		1	manu	tva	абстракт	BHĀG. P. 8,24,11	P.8.24.11		index-only			
manuprIta		1						manu + prIta	agrees			
manuBU		1						manu + BU	agrees			
manuyuga		1						manu + yuga	agrees			
manurAj		1						manu + rAj	agrees			
manurhita		1						manus + hita	pwg-new-fill			
manuvat		1	manu	vat	поссессив	ṚV. 2,10,6			index-only			
manuvfta		1						manu + vfta	agrees			
manuSrezWa		1						manu + SrezWa	agrees			
manuzya							P.4.1.41|P.4.1.63|P.4.1.161|P.125.29			gOrAdiH	4.1.41	1
manuzyatA		1	manuzya	tA	абстракт	R. 1,14,47	P.26.29		index-only			
manuzyatrA							P.5.4.56		index-only			
manuzyendra		1						manuzya + indra	pwg-new-fill			
manuzvat							P.1.4.18					
manogata		1					P.9.18.28|P.22.14	manas + gata	differs			
manogrAhya		1						manas + grAhya	differs			
manoja		1						manas + ja	differs			
manojava	1	1					P.5.20.25|P.8.21.8|P.21.8|P.52.11|P.76.53|P.99.54	manas + java	differs			
manojava	2						P.5.20.25|P.8.21.8|P.21.8|P.52.11|P.76.53|P.99.54	manas + java	differs			
manojavin		1	manojava	in	поссессив	Verz. d. Oxf. H. 231,b,23			index-only			
manojAta		1						manas + jAta	differs			
manojU		1						manas + jU	differs			
manojYa		1					P.5.1.133|P.6.3.34|P.63.1	manas + jYa	differs	manojYAdiH	5.1.133	1
manojYatA		1	manojYa	tA	абстракт	Spr. 5020			index-only			
manoduzwa		1						manas + duzwa	differs			
manoDft		1						manas + Dft	differs			
manonASa		1						manas + nASa	differs			
manoBava		1					P.4.25.30|P.6.15.24|P.18.41	manas + Bava	differs			
manoBU		1						manas + BU	differs			
manoBft		1						manas + Bft	differs			
manomaya							P.2.2.30		index-only			
manomuh		1						manas + muh	differs			
manoyuj		1						manas + yuj	differs			
manoraTa		1					P.127.37	manas + raTa	differs			
manorama		1					P.63.13|P.97.19|P.98.1	manas + rama	differs			
manolaya		1						manas + laya	differs			
manovatI							P.5.16.30		index-only			
manovAta		1						manas + vAta	differs			
manovid		1						manas + vid	differs			
manohata		1						manas + hata	differs			
manohan		1						manas + han	differs			
manohara		1					P.112.3	manas + hara	differs			
manohartar							P.10.62.18					
manohlAda		1						manas + hlAda	differs			
manohvA		1						manas + AhvA	differs			
manti							P.6.4.39					
mantu										gargAdiH|kaRqvAdiH	3.1.27|4.1.105	
mantra							P.2.4.80|P.4.4.96|P.6.1.203|P.8.5.17					
mantrakaraRa							P.1.3.25		index-only			
mantrakAra							P.3.2.23		index-only			
mantrajala							P.9.6.27		index-only			
mantrajYa							P.9.4.12		index-only			
mantraRa							P.4.2.90|P.50.87					
mantratas		1	mantra	tas	адверб	M. 3,65			index-only			
mantrada							P.118.51		index-only			
mantradfS							P.3.1.10|P.8.23.29		index-only			
mantradruma							P.8.5.8		index-only			
mantrapUta							P.89.36		index-only			
mantramaya		1	mantra	maya	материал	MBH. 7,3475			index-only			
mantravat		1	mantra	vat	поссессив	M. 2,64			index-only			
mantraspfS							P.3.2.58		index-only			
mantrin		1	mantra	in	поссессив	P. 3,1,134	P.3.1.134					
mantrivara		1						mantrin + vara	differs			
manTa							P.5.1.110|P.6.1.160|P.6.2.122|P.6.3.60|P.7.2.18|P.10.9.6			saNkASAdiH	4.2.80	
manTaka							P.2.4.63			yaskAdiH	2.4.63	1
manTara							P.4.1.41			gOrAdiH	4.1.41	1
manTaraka		1	manTara	ka	уменьш./собират.	KATHĀS. 72,289						
manTarezaRa							P.2.4.66					
manTAnaka		1	manTAna	ka	уменьш./собират.	RĀJAN.						
manTin		1	manTa	in	поссессив	BHAṬṬ. 6,74	P.5.3.20|P.6.2.142					
manTipa		1						manTin + pa	differs			
manTu							P.5.15.13					
